core	mg	al	si	p	s	cl	ar	k	ca	ti	v	cr	mn	fe	ni	cu	zn	ge	as	se	br	rb	sr	y	zr	nb	mo	sn	sb	ba	la	ce	nd	sm	eu	tm	yb	hg	pb	at	u	depth_in_core_cm	ga	ru	bi	ag	cd	te	y_bp
GeoB25202	129	1765	17876	123	1059	21226	NA	14383	49198	6984	NA	-45	1193	56021	2437	209	475	NA	NA	NA	1401	2134	11341	NA	5110	508	346	1160	NA	2693	NA	NA	NA	NA	NA	NA	NA	NA	63	NA	NA	84	103	17636	39	153353	87	746	27488
GeoB25202	65	1129	11481	59	1334	24495	NA	10379	52689	5848	NA	40	919	51169	2396	211	493	NA	NA	NA	1195	2001	11382	NA	4754	499	63	908	NA	2477	NA	NA	NA	NA	NA	NA	NA	NA	57	NA	NA	85	102	18484	25	153556	47	802	27883
GeoB25202	85	1383	13527	128	1192	22487	NA	11750	41959	6411	NA	-97	1066	52007	2460	185	440	NA	NA	NA	1301	2239	10406	NA	5265	606	224	8028	NA	2834	NA	NA	NA	NA	NA	NA	NA	NA	80	NA	NA	86	133	18847	34	58695	-130	922	28416
GeoB25202	75	1252	13082	93	1181	22974	NA	10897	40277	6111	NA	18	1132	50099	2372	228	434	NA	NA	NA	1239	2182	10591	NA	5054	511	228	1044	NA	2619	NA	NA	NA	NA	NA	NA	NA	NA	77	NA	NA	87	108	17661	32	155575	103	938	28942
GeoB25202	70	1263	12640	52	1291	23186	NA	10793	41944	5972	NA	119	1047	47580	2377	226	475	NA	NA	NA	1191	2111	11149	NA	5547	577	315	1017	NA	2322	NA	NA	NA	NA	NA	NA	NA	NA	67	NA	NA	88	117	18113	26	155119	56	913	29457
GeoB25202	51	1150	11065	76	1244	24604	NA	10062	36804	5438	NA	140	962	47398	2393	189	462	NA	NA	NA	1130	2353	10284	NA	4748	572	248	1170	NA	2767	NA	NA	NA	NA	NA	NA	NA	NA	42	NA	NA	89	123	17533	33	155977	91	974	29948
GeoB25202	53	1032	10244	59	1211	24825	NA	9433	37703	5312	NA	39	915	45323	2558	197	423	NA	NA	NA	1215	2171	10783	NA	6434	561	259	994	NA	2572	NA	NA	NA	NA	NA	NA	NA	NA	63	NA	NA	90	79	18623	20	156195	106	872	30403
GeoB25202	70	1030	10509	90	1266	25316	NA	9355	39282	5438	NA	5	1038	44121	2375	168	479	NA	NA	NA	1228	1960	11520	NA	5267	691	135	1143	NA	2299	NA	NA	NA	NA	NA	NA	NA	NA	71	NA	NA	91	104	17943	18	155233	67	860	30769
GeoB25202	67	955	9820	91	1340	25882	NA	9599	39093	5627	NA	70	1041	45893	2340	224	422	NA	NA	NA	1191	2079	11073	NA	5360	666	542	1061	NA	2855	NA	NA	NA	NA	NA	NA	NA	NA	88	NA	NA	92	79	18557	29	156343	116	863	31143
GeoB25202	61	1248	12600	72	1238	23840	NA	10120	44575	5353	NA	22	1058	47930	2496	181	419	NA	NA	NA	1113	2105	11053	NA	4723	572	205	6176	NA	2530	NA	NA	NA	NA	NA	NA	NA	NA	88	NA	NA	93	128	17976	6	46355	233	626	31558
GeoB25202	73	1298	13458	92	1314	23588	NA	11182	46184	5561	NA	26	1119	48508	2387	237	441	NA	NA	NA	992	2105	11148	NA	5573	529	163	8592	NA	2705	NA	NA	NA	NA	NA	NA	NA	NA	90	NA	NA	94	112	17472	19	58025	-181	814	31937
GeoB25202	94	1483	14384	124	1210	23439	NA	10781	50568	5995	NA	26	1072	47018	2452	219	444	NA	NA	NA	1128	1755	11890	NA	5167	359	-21	1329	NA	2683	NA	NA	NA	NA	NA	NA	NA	NA	81	NA	NA	95	96	17841	46	154658	123	855	32314
GeoB25202	69	1141	11778	121	1239	24127	NA	9950	46608	5672	NA	24	716	45748	2402	181	421	NA	NA	NA	1143	1960	12279	NA	4564	480	327	1013	NA	2529	NA	NA	NA	NA	NA	NA	NA	NA	72	NA	NA	96	109	18194	66	154544	99	857	32633
GeoB25202	37	857	9034	77	1265	26232	NA	8032	45331	5187	NA	-77	835	41965	2450	177	398	NA	NA	NA	1139	1549	12722	NA	4663	696	294	1165	NA	2311	NA	NA	NA	NA	NA	NA	NA	NA	32	NA	NA	97	70	18264	42	153056	99	840	32933
GeoB25202	17	1188	12596	101	1231	22452	NA	10013	52722	5858	NA	65	1301	46521	2404	174	410	NA	NA	NA	1264	1717	11597	NA	4824	604	268	1018	NA	2611	NA	NA	NA	NA	NA	NA	NA	NA	51	NA	NA	98	127	17735	21	152811	59	780	33224
GeoB25202	74	1084	10959	78	1307	23386	NA	9073	38521	5709	NA	-79	969	47460	2374	190	454	NA	NA	NA	1336	1857	10225	NA	4775	554	309	1133	NA	2460	NA	NA	NA	NA	NA	NA	NA	NA	57	NA	NA	99	109	18852	64	153850	72	932	33498
GeoB25202	34	1164	12182	62	1223	22645	NA	10055	38266	6415	NA	-10	1385	50670	2408	195	432	NA	NA	NA	1371	1651	10602	NA	5143	650	497	1110	NA	2794	NA	NA	NA	NA	NA	NA	NA	NA	70	NA	NA	100	108	19346	33	153767	115	843	33763
GeoB25202	66	1212	12482	102	1266	23008	NA	9558	36413	6323	NA	-178	1085	50098	2395	177	395	NA	NA	NA	1316	1603	10519	NA	4264	521	388	1103	NA	2460	NA	NA	NA	NA	NA	NA	NA	NA	76	NA	NA	101	72	19092	22	155347	68	754	34254
GeoB25202	77	997	10621	97	1240	23212	NA	8498	35948	5545	NA	164	1262	47178	2400	164	409	NA	NA	NA	1327	1696	10233	NA	4716	521	148	1052	NA	2472	NA	NA	NA	NA	NA	NA	NA	NA	52	NA	NA	102	111	20094	20	154284	63	900	34762
GeoB25202	81	1393	13722	124	1122	21697	NA	9960	41112	6449	NA	48	1144	50552	2432	169	415	NA	NA	NA	1350	1787	9938	NA	4585	802	345	6212	NA	2393	NA	NA	NA	NA	NA	NA	NA	NA	95	NA	NA	103	82	19812	31	45967	196	753	35267
GeoB25202	65	1089	10779	62	1245	24506	NA	9020	38028	5789	NA	-22	972	47620	2232	192	446	NA	NA	NA	1362	1675	11070	NA	3620	681	282	1177	NA	2408	NA	NA	NA	NA	NA	NA	NA	NA	68	NA	NA	104	106	19385	11	154432	95	852	35823
GeoB25202	78	987	10555	88	1220	24116	NA	9118	43951	5524	NA	107	810	45599	2378	209	462	NA	NA	NA	1293	1538	11857	NA	4545	638	241	860	NA	2287	NA	NA	NA	NA	NA	NA	NA	NA	52	NA	NA	105	115	19515	16	154877	79	776	36392
GeoB25202	52	1312	12859	89	1195	22279	NA	10712	45687	6174	NA	21	1175	47630	2436	183	357	NA	NA	NA	1281	1639	11589	NA	4715	551	269	1059	NA	2337	NA	NA	NA	NA	NA	NA	NA	NA	46	NA	NA	106	109	18603	19	155604	71	909	36822
GeoB25202	75	1128	12598	109	1172	22280	NA	10929	37791	6179	NA	21	1211	51681	2501	206	458	NA	NA	NA	1316	1857	10554	NA	4606	558	182	1099	NA	2494	NA	NA	NA	NA	NA	NA	NA	NA	82	NA	NA	107	121	19167	29	154989	92	819	37245
GeoB25202	67	1201	12890	119	1237	21775	NA	11335	35170	6541	NA	112	1215	52276	2364	194	497	NA	NA	NA	1201	2012	10284	NA	5059	647	337	1203	NA	2885	NA	NA	NA	NA	NA	NA	NA	NA	53	NA	NA	108	77	17783	24	154203	80	864	37688
GeoB25202	80	1452	15193	88	1136	21318	NA	12238	33550	6440	NA	-17	1141	54662	2370	163	520	NA	NA	NA	1148	2612	7928	NA	5527	376	173	2208	NA	1066	NA	NA	NA	NA	NA	NA	NA	NA	89	NA	NA	109	138	17921	58	153473	48	574	38116
GeoB25202	90	1535	15195	82	1207	21238	NA	11827	34935	6214	NA	-21	1154	52214	2395	208	492	NA	NA	NA	1164	2458	8335	NA	5718	935	229	2222	NA	1752	NA	NA	NA	NA	NA	NA	NA	NA	99	NA	NA	110	104	18801	27	151574	117	747	38561
GeoB25202	84	1641	16201	125	1016	20797	NA	12188	41286	6509	NA	-1	1417	53058	2345	234	446	NA	NA	NA	1229	2045	9383	NA	4744	578	258	1150	NA	2688	NA	NA	NA	NA	NA	NA	NA	NA	70	NA	NA	111	108	18485	40	151025	113	755	38984
GeoB25202	57	1282	12953	89	1206	23360	NA	10035	34970	5835	NA	-150	1022	49891	2547	213	417	NA	NA	NA	1311	2137	8613	NA	5003	692	293	1082	NA	2415	NA	NA	NA	NA	NA	NA	NA	NA	64	NA	NA	112	86	20095	45	149742	84	991	39396
GeoB25202	61	1432	14785	132	1038	21613	NA	11302	41798	6445	NA	100	863	48947	2534	216	418	NA	NA	NA	1410	2035	9075	NA	5154	424	265	1162	NA	2483	NA	NA	NA	NA	NA	NA	NA	NA	75	NA	NA	113	123	20176	48	149802	65	680	39803
GeoB25202	91	1746	17192	125	1014	20139	NA	12085	43349	6823	NA	-30	914	54514	2423	204	507	NA	NA	NA	1245	2111	9136	NA	4520	561	521	967	NA	2472	NA	NA	NA	NA	NA	NA	NA	NA	58	NA	NA	114	74	18527	31	150715	65	902	40227
GeoB25202	61	1510	15510	76	1152	22197	NA	11843	41574	6860	NA	-44	1234	54781	2434	195	488	NA	NA	NA	1263	1996	9415	NA	5172	659	139	961	NA	2664	NA	NA	NA	NA	NA	NA	NA	NA	61	NA	NA	115	89	18700	25	151156	81	797	40621
GeoB25202	43	1104	11580	93	1316	24737	NA	9411	43043	6117	NA	-82	1223	50039	2362	209	450	NA	NA	NA	1257	1561	11779	NA	4607	210	251	1253	NA	2222	NA	NA	NA	NA	NA	NA	NA	NA	78	NA	NA	116	100	18052	30	150877	115	733	41088
