sample	MEblack	MEmagenta	MEred	MEgreen	MEblue	MEbrown	MEyellow	MEpurple	MEpink	MEturquoise	MEgrey
LV3003046994	-0.0548393337854218	-0.0313545908776252	-0.0569522192106537	0.244229179722699	-0.0274302061615385	-0.0291941280976493	-0.0420767104615328	0.0593612618265169	-0.069590759045695	-0.085860783013977	0.00818623004170161
LV3003046979	-0.0211174682452846	-0.00116145754210242	0.0589574547481554	0.0831994895707426	0.0300792080883391	-0.0114232734552107	0.00255471894227535	0.0427311702023438	0.063985770844664	0.0302910193594594	-0.0195444892284709
LV3003046966	0.0758058863064454	-0.0224871417762131	-0.0511957442574742	0.0378639539997568	0.0841739085106668	0.0310399077110553	0.127985975109332	0.0503130116418742	-0.0271709840365323	0.0438036713115242	-0.0382171822950239
LV3003046950	0.0302495623700871	-0.0275980008209912	-0.0449577899073875	0.0215299710112115	0.0909986733551851	0.0786945525694353	0.135024509916236	0.0409676847503949	0.0289026666470514	0.0863807592508554	-0.0413097165159848
LV3003046937	-0.0369553815263076	-0.0345562337855558	-0.0595399172096184	0.000356947502387335	0.0547929060676396	-0.00894010565959606	0.0406361563646871	-0.00292343549341573	-0.00372218457068776	0.0315145890885936	-0.0304199569158083
LV3003047041	-0.0268608251732312	-0.0345562337855557	-0.0344526667026933	0.14863010114442	0.109479904689976	0.163078746488951	0.170659672013471	0.0915323705760219	0.0638629472724659	0.117197468145363	-0.0190613566626543
LV3003047026	-0.0548393337854217	-0.0345562337855558	-0.028533896696284	0.330138627475983	0.0621599179301281	0.065260503425864	0.050686380108139	0.131722191628394	0.0264038282117576	0.0437843463218666	0.0208496511422563
LV3003047009	-0.0548393337854217	-0.0345562337855558	-0.0610297397079359	0.279350950296326	0.00568096518409664	0.00802960419917511	-0.0150125364135909	0.0642020911402647	-0.0762628152959117	-0.0406140324078931	0.0111705209794512
LV3003046993	-0.0548393337854217	0.231660176381887	0.150214125341286	0.33049802978928	0.0506599639375678	0.0692849604723396	0.0578094520641485	0.0538256406404658	0.0909168160661779	0.0892647606772318	-0.0203514197918039
LV3003046978	-0.0333628610441999	-0.0345562337855557	-0.0499609984208595	0.0954375546383407	0.103043668255547	0.190046133120281	0.160806852378804	0.0684948501339778	0.0516211286560058	0.122717931710011	0.0121292303042929
LV3003046965	0.0282636332229592	-0.0269021457241588	-0.026368318428242	0.106917378456756	0.130924468631019	0.300740221186173	0.215696684859261	0.0761664138621334	0.0823433541281016	0.155501732066494	-0.0300688677873859
LV3003046949	-0.0198607267771533	-0.0345562337855558	-0.0395645581008382	0.0202624615405718	0.103318434417994	0.197109829126129	0.177076783709706	0.036517838844889	0.0500052222571249	0.109086264394713	-0.0186904408450868
LV3003046936	0.000554258482235178	-0.0345562337855558	-0.0387664655175523	0.0724082991540304	0.12776563765893	0.26303902575767	0.20769134988666	0.0691095709877598	0.0684796357549745	0.141618603873654	-0.0302852998430078
LV3003047145	-0.0548393337854218	-0.0345562337855557	-0.0612592232820569	0.186290903049989	0.0568405719384177	0.00487012707712833	0.0379306269327516	0.0681503613484637	-0.0156297882156576	0.0299671185730174	0.00265939961977658
LV3003047132	0.110889954913847	-0.00361057998474618	-0.0275353658938458	0.0329725021989994	0.140514708975178	0.290295527769839	0.217157484632078	0.0667564740444965	0.0772748276248388	0.155531614469057	-0.023733547151174
LV3003047118	-0.0341993234937967	-0.0345562337855558	-0.0391531598875761	0.0112677669450892	0.0987649040418411	0.180669419792667	0.144548499880771	0.0296553234652955	0.0631448418381849	0.122937964353369	-0.0259028598814362
LV3003047099	-0.0103582693499774	-0.0247267367348651	-0.0571861956821241	-0.021967039492521	0.0514995027921589	0.00186403547802872	0.0606664937601802	0.0250948637643835	-0.07642038606707	0.0261612499910368	-0.022875760313782
LV3003047071	0.11562658774863	-0.0253020180603047	-0.0612469130689053	-0.0310311984592362	0.0511615924006774	-0.0210733249647775	0.0571650925188355	0.0187040476460447	-0.103422200643735	-0.0190322203485981	-0.0208169006077962
LV3003047169	0.208678750688059	-0.0345562337855558	-0.0595099438627049	-0.0227882607399964	0.0633096092293878	-0.00229462959039597	0.092105315401058	0.0400233578164155	-0.0870987701505826	-0.00323480370144517	-0.026254748975437
LV3003047156	0.132328661370963	-0.0345562337855558	-0.0593465053216894	-0.026053583875108	0.0611456236034896	0.00673504298635966	0.0957808393704959	-0.00783381028178944	-0.0373475933152067	0.0118675645794384	-0.0309629561886168
LV3003047144	0.179790432169776	-0.0345562337855558	-0.0591716988728196	-0.0266774056894349	0.0764418605121003	-0.00158861824070744	0.126803963341539	0.0258331055132162	0.00798929626216638	0.037140454377995	-0.0350364971745208
LV3003047131	0.0722844918927121	-0.0206464607982153	-0.0275048541548913	-0.0294889195202386	0.036429284725687	-0.0352145029445752	-0.0115277314518367	0.00494610460794705	0.015737011432805	-0.0183646243473452	-0.0264835455965205
LV3003047117	0.0684748746796303	-0.0345562337855558	-0.0468175090916865	-0.0315084745748402	0.0228526498415212	-0.0294170340685611	-0.0294569041453831	-0.0270304331594949	-0.0140171242560814	-0.0310513526883912	-0.0313741081539743
LV3003047098	0.149995297302328	-0.0345562337855558	-0.0596595010957604	-0.0282777811181735	-0.0143065985773364	-0.0339407503939051	-0.0361043920644116	-0.017524669491945	-0.110589247559709	-0.0822512538433079	-0.0277500758668321
LV3003047085	0.228657130800519	-0.0242908854689246	-0.0593172039962107	-0.0150710013896441	0.0458274456124125	-0.014369359758839	0.0361165213189214	0.027739903430425	-0.123500106394981	-0.0211563274352589	-0.0317884927942987
LV3003047070	0.163201094062612	-0.0345562337855558	-0.0594202706230206	-0.027794836615771	0.0192151961958009	-0.0295707365708006	-0.0243708948926047	-0.00292536784316633	-0.105134508728115	-0.0448652601156445	-0.0252586814847742
LV3003047168	0.187337435199618	-0.0247768208934252	-0.0575325257109691	-0.00305569315046014	0.0460636308514023	-0.0175876756867611	0.0520735818891097	0.0327197754034189	-0.116648613434429	-0.0204187654591754	-0.0183862291985812
LV3003047155	0.220986014583006	-0.0345562337855558	-0.0593198521542612	-0.0281705183052759	-0.0288460281296309	-0.0369290893916964	-0.0358711948968769	0.00042974760331964	-0.149004175156977	-0.0906163768804138	-0.0189550282336549
LV3003047143	0.169792747999357	-0.0216338086983636	-0.0317346573238667	-0.0296541607307593	0.0237695868071122	-0.0356756186360888	-0.0163182370875843	0.0105593282015299	-0.00442677783394697	-0.0218985464871817	-0.0239539485603233
LV3003047130	0.099409453226304	-0.0292254499901704	-0.0426329863623881	-0.0353071859679898	0.00543413793917701	-0.0336310226828793	-0.0159295207859896	-0.0610948040942653	-0.050785670339029	-0.0394728919258356	-0.0303754075852189
LV3003047114	0.0214048666742899	-0.0279750028682866	-0.0243018868968862	-0.0370496425168504	-0.00926148944673797	-0.0412165825258248	-0.0425117386389472	-0.0464623018349768	-0.0431490017029052	-0.0412641729747827	-0.0296674360352944
LV3003047097	0.120338465668544	-0.0211142305003517	-0.0331857450567038	-0.0314134683884919	0.023543656540369	-0.0404692204650646	-0.0132870619695528	-0.0177388668168238	-0.0122367498592078	-0.0279166432083811	-0.0269026460070913
LV3003047084	0.00811157881556826	-0.00505795427671563	0.0458000515261719	-0.0292571030513334	0.0458780304179164	-0.0201448369114667	-0.000890145194448022	-0.00215122319342815	0.0472229303704168	0.0353092412532212	-0.0144265124950815
LV3003047069	-0.00515450464955103	-0.0345562337855558	-0.0529546776817928	-0.0257925976891536	0.013804133366996	-0.0387699530798726	-0.0414087766530867	-0.0362372694658359	-0.0264008987723424	-0.0249590342178629	-0.0284373267355182
LV3003047167	-0.0058738382693501	-0.0309215846978927	-0.0610578682336631	-0.0315800784770349	-0.0143005315680924	-0.030883390155603	-0.0388197163424489	-0.0563417780431063	-0.124941824905333	-0.0849266918191889	-0.0308034147527419
LV3003047154	-0.044562551085658	-0.0345562337855558	-0.0403723466933624	-0.0310145705764527	0.00311100641422755	-0.0356359022168238	-0.0641085986160809	-0.0488606189501674	-0.0110537078274645	-0.0420840232393742	-0.0270773813215147
