sample	rarefaction_depth	rarefied_observed
LV3003061572	10000	815.003254299577
LV7001898064	10000	619.097833395513
LV7001898076	10000	889.925207138769
LV7001898088	10000	596.770230521094
LV7001898100	10000	429.476772818754
LV7008886221	10000	463.432574572611
LV7008886222	10000	365.014769635583
LV7008886226	10000	409.831284862623
LV7008886228	10000	84.9999999999977
LV7008886229	10000	802.728413053004
LV7008886690	10000	289.532060096711
LV7008886692	10000	324.614491216142
LV7008886695	10000	616.084203717057
LV7008886702	10000	545.789445035054
LV7008886703	10000	719.282563028389
LV7008886704	10000	382.084834727393
LV7008886705	10000	206.999976295581
LV7008886706	10000	704.663396122434
LV7008886707	10000	543.253332935848
LV7008886708	10000	524.668350285227
LV7008886709	10000	387.723374399776
LV7008886714	10000	361.381045163374
LV7008886715	10000	728.702804510232
LV7008886717	10000	372.758567956737
LV7008886718	10000	659.115643870848
LV7008886719	10000	426.348028196946
LV7008886720	10000	592.800720553546
LV7008886721	10000	471.365753738242
LV7008886726	10000	352.266405907283
LV7008886727	10000	847.035976440364
LV7008886728	10000	446.014778326564
LV7008886730	10000	764.213748797725
LV7008886731	10000	436.123990109169
LV7008886739	10000	897.716924811234
LV7008886740	10000	521.520529853363
LV7008886741	10000	90
LV7008886742	10000	846.925896590182
LV7008886743	10000	498.770270601914
LV7008886744	10000	424.230226597408
LV7008886745	10000	264.97548085639
LV7008886751	10000	533.727933591367
LV7008886752	10000	485.676529684387
LV7008886753	10000	312.899666525996
LV7008886754	10000	843.032134197494
LV7008886755	10000	605.308263432174
LV7008886756	10000	486.947291175675
LV7008886757	10000	96.9999999999975
LV7008886763	10000	321.623549476869
LV7008886765	10000	542.021017365754
LV7008886766	10000	814.284839236307
LV7008886768	10000	645.395879073479
LV7008886769	10000	186.998831267275
LV7008886776	10000	781.027085905736
LV7008886778	10000	765.957608543312
LV7008886780	10000	735.914788894287
LV7008886781	10000	66
LV3003046936	25000	1011.09212095656
LV3003046937	25000	591.644800119749
LV3003046938	25000	656.52746851337
LV3003046939	25000	531.854123710255
LV3003046949	25000	898.637313452448
LV3003046950	25000	831.419271673095
LV3003046952	25000	590.567681231916
LV3003046953	25000	501.045928438313
LV3003046965	25000	1044.82095804588
LV3003046966	25000	784.570091012907
LV3003046978	25000	932.120254367949
LV3003046979	25000	707.451634992794
LV3003046980	25000	539.695020462016
LV3003046993	25000	953.785750715274
LV3003046994	25000	496.191832731857
LV3003046995	25000	481.224853159574
LV3003047009	25000	594.031856827318
LV3003047010	25000	585.29024655409
LV3003047013	25000	476.572285936563
LV3003047026	25000	822.215594928685
LV3003047027	25000	715.483693329716
LV3003047028	25000	
LV3003047041	25000	924.132184858715
LV3003047044	25000	538.988761370058
LV3003047045	25000	504.581670951889
LV3003047059	25000	169
LV3003047060	25000	162
LV3003047061	25000	109
LV3003047062	25000	108
LV3003047063	25000	
LV3003047064	25000	
LV3003047065	25000	269.99999998113
LV3003047067	25000	572.960979940848
LV3003047068	25000	436.995798874841
LV3003047069	25000	450.998823998278
LV3003047070	25000	490.99501635674
LV3003047071	25000	611.889583721155
LV3003047073	25000	
LV3003047074	25000	
LV3003047077	25000	117
LV3003047078	25000	
LV3003047079	25000	345.999997549616
LV3003047080	25000	461.978733193417
LV3003047081	25000	540.997033531605
LV3003047082	25000	374.999966141963
LV3003047083	25000	442.99848835447
LV3003047084	25000	654.580910916042
LV3003047085	25000	605.888482366786
LV3003047087	25000	142
LV3003047088	25000	112
LV3003047089	25000	205.999999969775
LV3003047090	25000	160.999999999963
LV3003047091	25000	356.999800035007
LV3003047093	25000	440.971525384864
LV3003047094	25000	452.99195719681
LV3003047095	25000	422.993598001224
LV3003047096	25000	568.458728693623
LV3003047097	25000	521.988951416249
LV3003047098	25000	423.999633958726
LV3003047099	25000	625.74397241559
LV3003047100	25000	447.993502152604
LV3003047101	25000	339.999958386161
LV3003047104	25000	138
LV3003047105	25000	114
LV3003047106	25000	274.999996137954
LV3003047107	25000	442.997746737339
LV3003047110	25000	344.999995752923
LV3003047112	25000	496.988799197047
LV3003047113	25000	643.573554685931
LV3003047114	25000	418.99991176494
LV3003047117	25000	499.997522118218
LV3003047118	25000	848.528899008645
LV3003047122	25000	126
LV3003047123	25000	82
LV3003047124	25000	145
LV3003047125	25000	231.999999999968
LV3003047126	25000	355.999999406615
LV3003047127	25000	240
LV3003047128	25000	563.945699685944
LV3003047129	25000	548.983651508856
LV3003047130	25000	461.999380325768
LV3003047131	25000	546.979351739153
LV3003047132	25000	1026.80627951837
LV3003047133	25000	418.999106305948
LV3003047134	25000	428.999126366514
LV3003047136	25000	467.998272283216
LV3003047137	25000	338.999978786618
LV3003047138	25000	412.999690634832
LV3003047139	25000	349.999986842775
LV3003047140	25000	108
LV3003047141	25000	
LV3003047142	25000	433.999964261626
LV3003047143	25000	540.95425514078
LV3003047144	25000	742.870687493252
LV3003047145	25000	704.835069275998
LV3003047146	25000	587.956926158338
LV3003047147	25000	426.999856686659
