sample	core	flowcell	depth_in_core_cm	log_total_reads	total_reads	library_concentration	log_initial	log_derep	avg_leng_initial	avg_len_derep	detected_taxa	shannon_raw	age_kyr	mis	sst
LV3003047133	ST8		459.2	5.4244520277904	265736	57.68	7.76835646578814	7.12268531804608	62.9	66	419	5.26595177726051	70.162	4.3038	9.41847614468938
LV3003047134	ST8		454.2	5.42339334513508	265089	41.22	8.03350448252362	7.21115280498788	64.7	70.5	429	5.40650507748349	68.807	4.46035	8.5256420642359
LV3003047136	ST8		449.2	5.43713990239991	273614	70.92	7.68984973835744	7.10017913762949	67.8	74.4	468	5.50615912341595	67.8766	4.422468	8.08372539793979
LV3003047137	ST8		444.2	5.29899708989525	199065	44.94	7.76024108235845	6.9367951384598	58.1	61.2	339	4.92714821170992	66.9462	4.446994	8.05521044883768
LV3003047138	ST8		439.2	5.37714773380374	238312	67.91	7.64199466423826	7.0484774235601	62.5	66.1	413	5.36128106600003	66.0158	4.567946	8.02669549973556
LV3003047139	ST8		399.5	5.28583399919759	193122	44.97	7.18058064220131	6.93092347170147	77.9	83.7	350	5.20326346145349	58.6141266666667	4.4531524	8.62798528680874
LV3003047140	ST8		349.5	4.46630400597521	29261	83.7	6.38770759937478	6.31283338189959	64.6	65.5	108	4.44454768385953	46.0948	4.361896	8.58009723613548
LV3003047141	ST8		309.5	3.83834526877599	6891	61.93	5.98048151434607	5.92929679515375	61.3	61.8	27	3.05927080149058	39.15347	4.55	8.89722610078355
LV3003047142	ST8		269.5	5.30548464730047	202061	78.67	7.82823827809652	7.18297200066899	64.9	67.1	434	5.55451837115845	35.5823	4.487593	9.11794716980078
LV3003047143	ST8		224.5	5.58587902995138	385370	133.26	8.13074125753881	7.38222583216061	57.5	60.5	541	5.44572382676621	31.398	4.61204	8.45453592350455
LV3003047144	ST8		184.5	5.81635930596999	655177	145.85	7.96406053057055	7.42387280465992	60.2	62.3	744	5.80465245382836	27.729	4.75	7.87282431997209
LV3003047145	ST8		144.5	5.80889395972818	644011	279.12	7.52470404390631	7.40704414638498	69.7	71.1	706	5.50425383845745	23.446	4.8377	7.65168510703157
LV3003047146	ST8		424.5	5.58323959346369	383035	97.4	7.76385250356214	7.24584997866504	65	68	588	5.67847857408079	63.2667	4.484661	7.94244093548725
LV3003047147	ST8		419.5	5.36311159506033	230733	48.14	7.71966418201053	6.96489688215443	63.1	66.9	427	5.41067423600899	62.3217	4.577481	7.91347852480206
LV3003047148	ST8		414.5	5.36409300944604	231255	47.48	7.72859181568263	7.05886696628526	65.5	69.9	399	5.19254468739444	61.3767	4.543903	7.88451611411687
LV3003047149	ST8		409.5	5.2424072433716	174745	45.56	7.79414352776541	6.96238974750459	65.1	69.9	360	5.23576748314559	60.4317	4.561147	7.85555370343168
LV3003047150	ST8		404.5	5.56770611091665	369577	73.51	7.8268550212585	7.18830518250931	74.5	80.5	509	5.38008623698788	59.5217933333333	4.51870486666667	8.44254713374637
LV3003047152	ST8		344.5	5.44727279400518	280073	114.81	7.93794216994759	7.43764773063596	67.2	69.9	479	5.50885636982524	45.00002	4.3300006	8.47849004532337
LV3003047153	ST8		304.5	5.60739925836781	404947	119.12	7.79046451102999	7.33859058622477	65.2	67.7	542	5.35735533716607	38.71393	4.5099502	8.96336671938132
LV3003047154	ST8		264.5	5.34573630819064	221684	109.23	7.39021177549831	7.09949935955701	57.6	58.9	420	5.41100325225749	35.13012	4.5282892	9.04625505944773
LV3003047155	ST8		219.5	5.43945112163136	275074	72.49	7.76922743168544	7.19514068932708	51.8	53.7	416	5.2051646135034	30.9475	4.62	8.38311017332974
LV3003047156	ST8		179.5	5.70832145146083	510882	175.93	7.76098215141717	7.30271733511231	59.1	61	666	5.72755935962286	27.1996666666667	4.75	7.84137599187233
LV3003047158	ST8		394.5	5.29523493009519	197348	70.06	7.64631925116243	7.10187002647307	79.6	86.6	372	5.29771000398298	57.70646	4.4723876	7.06485967649701
LV3003047159	ST8		389.5	5.22751392514472	168854	81.65	7.59253397593484	7.15534420698372	80.8	84.8	362	5.35133315950927	56.7987933333333	4.41390346666667	6.86838342718166
LV3003047160	ST8		384.5	3.80645132324726	6403	36.23	6.28012061773137	5.99632556862128	56.6	66.2	24	2.91733029854508	55.8911266666667	4.34564506666667	6.67190717786631
