sample	MEbrown	MEblue	MEturquoise	MEyellow	MEgrey
LV3003047169	-0.0300163196005955	-0.0210936875597948	-0.0654139525331256	-0.0820227585153536	-0.105400215459796
LV3003047156	0.019329396436848	0.0170088772852477	-0.0339012938768838	-0.051154471371165	-0.0636930462493037
LV3003047144	0.0874526575785232	0.0776839911363174	0.0323746435032389	-0.00303202500764723	-0.0121237658311519
LV3003047131	-0.0389273209486935	-0.0909222391345785	-0.104180857979304	-0.0922749214569978	-0.120329286344751
LV3003047117	-0.0271116438048083	-0.0784593733791649	-0.0798392882900355	-0.0755660464669422	-0.0987644907510889
LV3003047098	-0.0652686423303585	-0.0785785403470499	-0.0580313324828382	-0.0631842233921896	-0.0861898782139375
LV3003047085	-0.0297776274208143	-0.0319764592763587	-0.0467529480132814	-0.0608459602320471	-0.0952567145146699
LV3003047070	-0.00944794161682292	-0.0474754634152911	-0.0352450437781194	-0.0411977959908858	-0.0621722567579285
LV3003047168	-0.0276365160508933	-0.0337185990515578	-0.0448359825510753	-0.0579594580988801	-0.0933423379782136
LV3003047155	-0.0497118159782208	-0.0464382486521587	-0.0137883917750875	-0.0274608187209772	-0.0415979887901958
LV3003047143	-0.0175502483482643	-0.0698171703651761	-0.0655328731601528	-0.0624372911610921	-0.0849852368601833
LV3003047130	-0.0542336524056163	-0.090391068229166	-0.0905257591810398	-0.0879016953435346	-0.109656302827265
LV3003047114	0.00117325950768898	-0.0474456462727744	-0.0333586356640008	-0.0326286792927182	-0.0428854707504865
LV3003047097	0.0153124774277052	-0.039067844142593	-0.0320424182460762	-0.0349487391847229	-0.0453653139269251
LV3003047084	0.0162211371963566	-0.0301513181742165	-0.0558503728225774	-0.0320085066589015	-0.0492493350343885
LV3003047069	0.0404756240701937	-0.0185216432454341	-0.0138292760066526	-0.0164812444577802	-0.0227978889720822
LV3003047167	-0.0155437634120038	-0.0315191873917382	-0.0133163513833725	-0.0194009363325205	-0.0313945764994702
LV3003047154	-0.0098858449769507	-0.0724875815353117	-0.0637204740698492	-0.0564712571219152	-0.0710824631383234
LV3003047142	-0.0232904449942799	-0.0344212524441188	-0.0304121022959285	-0.0379378166909789	-0.0518769329168348
LV3003047129	-0.0150974679321092	-0.0351006792982277	-0.0530953181748793	-0.0584480083666202	-0.0755968309361185
LV3003047113	0.0639655612188048	0.035227412111639	0.00695324653801852	-0.00970878254303761	-0.0128258083786071
LV3003047096	0.0042833658879138	-0.0228788055691914	-0.0392891721027315	-0.0456280391952224	-0.0581969968876509
LV3003047083	0.0230566385337502	-0.0397120764396272	-0.0312511636682924	-0.032031397528266	-0.0408004671214881
LV3003047068	0.0349688294621319	-0.0266925386741644	-0.0198784279822649	-0.0227669698032111	-0.0274573178293475
LV3003047166	0.0235709517131331	-0.028162008787358	-0.0351188348336197	-0.0392283452722276	-0.0457530001001668
LV3003047153	0.0185156045598062	-0.0329954327663239	-0.0435180295523481	-0.0388040162281946	-0.0512971647724257
LV3003047141	-0.0472081949243994	0.106132189918695	0.17227285863384	0.142356722471665	0.177573562919366
LV3003047128	0.0619520332030844	0.0394725299990932	0.0336383304535677	0.0138677625305549	0.0114587829069418
LV3003047112	0.0193953034173496	-0.0350850385882263	-0.0498563270669575	-0.0489877802725593	-0.0579364221452996
LV3003047095	-0.0282155512517301	-0.0891844653903518	-0.0794195279291049	-0.0700649346307829	-0.0827476756545152
LV3003047082	0.0517680882014926	-0.00547003926498605	0.0241370936290228	0.0185512216446397	0.0212621854360207
LV3003047067	0.0403739914420703	-0.0109376588717163	-0.0285559722958406	-0.0334731782824358	-0.0321688055892715
LV3003047164	-0.0437904225563072	-0.0829981192037374	-0.0692997653287339	-0.0649996726967096	-0.0797887896768776
LV3003047152	0.0184343015310768	-0.046244353418064	-0.0391921216389068	-0.0364848899758146	-0.0443905503150528
LV3003047140	-0.0109372425526716	0.0731487243910205	0.132437962188194	0.108957605565866	0.134681334404134
LV3003047127	-0.064342184594651	-0.0359927332774789	0.00374493785311362	-4.0847288590095e-05	0.000810842529761464
LV3003047110	-0.0142335194083974	-0.0505837738575406	-0.0245693487233475	-0.0222471781463038	-0.0313610054378221
LV3003047094	0.0277614952632195	-0.0308666030225277	-0.0119887759282122	-0.00897708725045575	-0.00511867938501558
LV3003047081	-0.0643015823321188	-0.0877376040797938	-0.0971830509850285	-0.0968658001221657	-0.116493843629238
LV3003047065	-0.0713055506805438	-0.0324625860961105	0.00693228816422684	-0.00189621357231155	-0.00557769937512191
LV3003047161	-0.0511578427089589	0.106418722611468	0.173028170815933	0.144016819464567	0.177309320681095
LV3003047160	-0.0598601456513344	0.106580047575157	0.172818718454309	0.144792495075815	0.178488235414334
LV3003047159	0.00537170878643974	-0.0445433407230367	-0.0165386190445698	-0.00989179107503379	-0.0163710228952733
LV3003047158	-0.0392777482682655	-0.0405946904109534	-0.0323773606150295	-0.0311203998029232	-0.0525518017676574
LV3003047139	0.0150158560679744	-0.00204272960311973	0.010963126051626	0.00778335057327402	-0.00123759188584128
LV3003047150	-0.0470763066985797	-0.0686390130194901	-0.0967939414532266	-0.0874767156653836	-0.115842637784804
LV3003047149	-0.0200660580195532	-0.0579930284821338	-0.0364097653217583	-0.0311199553081243	-0.0484582318149061
LV3003047148	-0.0732161214923604	-0.108222864408114	-0.101698244827515	-0.0917966732379482	-0.112190689431342
LV3003047147	-0.0392522592693543	-0.0723571515722149	-0.0706864597841146	-0.0656617683470559	-0.0874120274828623
LV3003047146	-0.0246595779813852	-0.0507126016241157	-0.0867485882140602	-0.080102898108889	-0.105348393164221
LV3003047126	-0.049464711576371	-0.0917010220952792	-0.074519908826076	-0.0659386712456241	-0.0912896424988356
LV3003047138	-0.0263679328600334	-0.0850511511429646	-0.0569256458020873	-0.0412526535204128	-0.0483408995084811
LV3003047137	-0.108869853070944	-0.0880707630876001	-0.066875598209399	-0.0591465561473991	-0.0820123114044002
