sample	total_reads_retained_taxa	OAP	MGI	MFI	DCI	MII	SRPI	tea_mode	n_taxa_input	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	core	age_kyr	state	state_label
LV3003047090	110264	204.324997942411	-13.8155105579643	0	-1.90893114581423	-2.17401010142731	-0.463015196393059	ko	161	161	151	132	1	0.867826307770442	0.9372415294203	ST8	90.757	2	IG-D
LV3003047091	233626	292.079464207685	-13.8155105579643	0	-1.34430950065039	-3.01134101026293	-0.608923998332864	ko	357	345	323	282	0.986491229572051	0.886207014630221	0.865657075839162	ST8	89.37525	4	IG-B
LV3003047093	373747	324.334613645776	-13.8155105579643	0	-1.51861655345742	-2.74238351614389	-0.62997060117642	ko	441	415	390	331	0.984698204935424	0.886484707569559	0.858859067765092	ST8	79.675	4	IG-B
LV3003047094	316404	345.81845129469	-13.8155105579643	0	-1.55755489652833	-2.28888341346158	-0.672902277423505	ko	453	432	408	349	0.985960986586769	0.933268858800774	0.87338971694416	ST8	50.6848	1	G-A
LV3003047095	317139	328.45084413654	-13.8155105579643	0	-2.04362440443047	-2.61514955919668	-0.666963925486338	ko	423	408	387	334	0.990464748895595	0.959175629613513	0.87541740372518	ST8	40.9751666666667	1	G-A
LV3003047096	554559	329.898377013337	-13.8155105579643	0	-1.63132438169253	-2.25901171697296	-0.628044746772718	ko	569	555	532	466	0.99464078664308	0.951520036641728	0.902033868353052	ST8	36.89377	1	G-A
LV3003047097	325562	466.603457311279	-13.8155105579643	0	-2.12058788762296	-2.60940096573813	-0.806165445907951	ko	522	507	482	420	0.988496814738821	0.957525755462861	0.860880569599646	ST8	32.835	1	G-A
LV3003047098	245864	444.052918782162	-13.8155105579643	0	-2.38881046455257	-2.22435982454801	-0.689352336827342	ko	424	420	404	360	0.99772231802948	0.962454853089513	0.888613217063092	ST8	29.278	1	G-A
LV3003047099	501957	486.916842449625	-4.63009591344238	-9.18541464452189	-1.74771840441028	-2.60407703881962	-0.729309932119383	ko	626	614	587	505	0.993266355484633	0.953127459124985	0.835758839900629	ST8	25.058	1	G-A
LV3003047100	317133	340.072849870635	-13.8155105579643	0	-2.0759190392455	-2.74545526690288	-0.628505553084165	ko	448	436	409	348	0.990335285195801	0.891471401588608	0.853339135315467	ST8	86.61175	4	IG-B
LV3003047101	208332	323.075455038573	-13.8155105579643	0	-2.19037646983834	-2.70277911521118	-0.59246421777835	ko	340	333	315	272	0.99340955782117	0.930313154004186	0.868757560048384	ST8	85.23	2	IG-D
LV3003047104	88376	174.869058336564	-13.8155105579643	0	-3.10716701890092	-2.15991486414297	-0.442427496304038	ko	138	137	129	116	0.994840228116231	0.890060649950213	0.921177695301892	ST8	83.84125	2	IG-D
LV3003047105	62015	220.3681958622	-13.8155105579643	0	-11.4802270137152	-2.46633641548604	-0.363617480256709	ko	114	114	106	98	1	0.875175360799807	0.932935580101588	ST8	82.4525	2	IG-D
LV3003047106	180685	253.508858307208	-13.8155105579643	0	-1.85364987771016	-2.61748337112471	-0.522456132768747	ko	275	271	253	223	0.993607659739325	0.878357362260287	0.903887981846861	ST8	81.06375	2	IG-D
LV3003047107	276159	384.650280403938	-13.8155105579643	0	-1.65633812910487	-2.72211218362559	-0.725584727785854	ko	443	429	406	348	0.990212160385865	0.9197527511325	0.835370203397318	ST8	71.517	4	IG-B
LV3003047110	176521	422.92485937827	-13.8155105579643	0	-1.9679671966268	-2.3612089815101	-0.724626518068574	ko	345	337	320	279	0.991434446893004	0.933973861466908	0.843565354830304	ST8	49.1548	1	G-A
LV3003047112	326098	502.756485894367	-13.8155105579643	0	-1.65793839412569	-2.90449701089583	-0.969563946512092	ko	497	479	453	392	0.988196799735049	0.950606872780575	0.791482928444823	ST8	40.0335	1	G-A
