state	module	index	analysis_set	n	median_centered	mean_centered	p_value	status	q_value	direction
2	turquoise	MGI	exclude_grey	51	0	-0.60287460973773	0.0224942712224497	ok	0.0408986749499085	no_call
2	green	MGI	exclude_grey	26	0	-0.236952503770519	0.371093369522698	ok	0.390624599497576	no_call
1	turquoise	MGI	exclude_grey	75	0	-0.284114670660482	0.0222541248230991	ok	0.0408986749499085	no_call
1	yellow	MGI	exclude_grey	75	0	-0.284114670660482	0.0222541248230991	ok	0.0408986749499085	no_call
1	green	MGI	exclude_grey	67	0	-0.210204241937809	0.0579072654172973	ok	0.0890881006419959	no_call
1	blue	MGI	exclude_grey	66	0	-0.322857580296002	0.0222541248230991	ok	0.0408986749499085	no_call
1	brown	MGI	exclude_grey	60	0	1.30015808514069	0.0222541248230991	ok	0.0408986749499085	no_call
2	yellow	MGI	exclude_grey	47	0	-0.500858471439118	0.0360316862182336	ok	0.0600528103637226	no_call
2	blue	MGI	exclude_grey	14	0	-0.718350243984045	0.18144920772142	ok	0.259213153887743	no_call
2	brown	MGI	exclude_grey	18	0	3.91692343155961	0.0224942712224497	ok	0.0408986749499085	no_call
4	green	MGI	exclude_grey	43	0	-0.15175422079734	0.371093369522698	ok	0.390624599497576	no_call
4	turquoise	MGI	exclude_grey	43	0	-0.15175422079734	0.371093369522698	ok	0.390624599497576	no_call
4	yellow	MGI	exclude_grey	43	0	-0.15175422079734	0.371093369522698	ok	0.390624599497576	no_call
4	blue	MGI	exclude_grey	33	0	-0.0885546371149329	1	ok	1	no_call
4	brown	MGI	exclude_grey	24	0	0.937441562818734	0.371093369522698	ok	0.390624599497576	no_call
3	green	MFI	exclude_grey	30	0.494775195270662	0.424759852526593	0.0308635081570867	ok	0.0561154693765213	no_call
3	turquoise	MFI	exclude_grey	32	0.50215930025938	0.508780626762947	0.0143680358028092	ok	0.0449885424448993	enriched
3	yellow	MFI	exclude_grey	32	0.50215930025938	0.508780626762947	0.0143680358028092	ok	0.0449885424448993	enriched
