sample	n_taxa_input	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	frac_taxa_with_comp	frac_taxa_with_ko	frac_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	tea_mode	state	state_label	core	age_kyr
LV3003061492	1061	968	906	803	0.91234684260132	0.853911404335532	0.756833176248822	0.978164830007671	0.925632261383896	0.78085505128863	ko	3	IG-A	ST13	14.437
LV3003061500	501	484	451	396	0.966067864271457	0.900199600798403	0.790419161676647	0.992830139996012	0.913562920017358	0.890538443194302	ko	2	IG-D	ST13	148.086
LV3003061501	572	552	518	441	0.965034965034965	0.905594405594406	0.770979020979021	0.991723934454489	0.951170716021389	0.882076425561821	ko	4	IG-B	ST13	105.5872
LV3003061503	769	715	676	585	0.929778933680104	0.879063719115735	0.76072821846554	0.984312872284475	0.939171907415624	0.861536300359586	ko	4	IG-B	ST13	73.1472
LV3003061504	450	424	402	348	0.942222222222222	0.893333333333333	0.773333333333333	0.983552971478544	0.929322637472309	0.861714916492141	ko	1	G-A	ST13	50.268
LV3003061505	529	509	484	419	0.962192816635161	0.914933837429112	0.792060491493384	0.989757668549707	0.946905302430354	0.845423508086514	ko	1	G-A	ST13	32.81
LV3003061506	467	454	415	373	0.972162740899358	0.888650963597431	0.798715203426124	0.99415143172374	0.933034305688743	0.880941627741516	ko	3	IG-A	ST13	11.95
LV3003061513	347	336	322	270	0.968299711815562	0.927953890489914	0.778097982708934	0.987492048048498	0.959005351195599	0.848187890581147	ko	2	IG-D	ST13	138.493
LV3003061514	945	871	828	705	0.921693121693122	0.876190476190476	0.746031746031746	0.977790193559321	0.929879719323544	0.81653552297929	ko	4	IG-B	ST13	100.6726
LV3003061515	984	899	851	731	0.913617886178862	0.864837398373984	0.742886178861789	0.964568085582258	0.911755413858005	0.785586520992916	ko	4	IG-B	ST13	71.0012
LV3003061516	464	442	419	358	0.952586206896552	0.90301724137931	0.771551724137931	0.988733925901498	0.934484748685885	0.870613952016685	ko	1	G-A	ST13	48.537
LV3003061517	862	796	756	651	0.923433874709977	0.877030162412993	0.755220417633411	0.981898299554886	0.937131499017331	0.832652003014037	ko	4	IG-B	ST13	30.678
LV3003061518	878	800	751	658	0.911161731207289	0.855353075170843	0.749430523917996	0.977045652546785	0.89812860751383	0.773207662077913	ko	3	IG-A	ST13	9.804
LV3003061527	49	49	47	43	1	0.959183673469388	0.877551020408163	1	0.971325186044924	0.936642315832594	ko	2	IG-D	ST13	133.7754
LV3003061528	825	767	724	616	0.92969696969697	0.877575757575758	0.746666666666667	0.982287938171375	0.938974101501207	0.820309084174297	ko	4	IG-B	ST13	95.118
LV3003061529	869	807	761	653	0.928653624856157	0.875719217491369	0.751438434982739	0.979542324067117	0.925561138241923	0.814102413598798	ko	4	IG-B	ST13	66.015
LV3003061530	417	402	381	332	0.964028776978417	0.913669064748201	0.796163069544365	0.995215151226028	0.964128740896225	0.92469230035302	ko	1	G-A	ST13	47.046
LV3003061531	924	875	829	724	0.946969696969697	0.897186147186147	0.783549783549784	0.987509459448463	0.942777456812023	0.866125409909433	ko	1	G-A	ST13	28.445
LV3003061533	576	540	481	443	0.9375	0.835069444444445	0.769097222222222	0.987714277814643	0.884551260783013	0.910712508294625	ko	3	IG-A	ST13	7.912
LV3003061539	374	358	344	291	0.957219251336898	0.919786096256684	0.778074866310161	0.987723519731581	0.953232794623086	0.829220439948676	ko	2	IG-D	ST13	130.0556
LV3003061541	596	570	538	471	0.956375838926174	0.902684563758389	0.790268456375839	0.989351953273248	0.931397081737875	0.871441266040722	ko	4	IG-B	ST13	91.09
LV3003061543	801	722	684	590	0.901373283395755	0.853932584269663	0.736579275905119	0.969117659156641	0.930905492609651	0.825315810070901	ko	4	IG-B	ST13	62.293
LV3003061544	567	541	514	437	0.954144620811288	0.90652557319224	0.770723104056437	0.984374367389321	0.933729789205191	0.839104330450812	ko	1	G-A	ST13	45.122
LV3003061545	790	757	721	632	0.958227848101266	0.912658227848101	0.8	0.989556518011698	0.949508920937794	0.863309495756787	ko	1	G-A	ST13	23.172
LV3003061546	461	438	386	367	0.950108459869848	0.837310195227766	0.796095444685466	0.990773561852175	0.890472860618711	0.933717352922964	ko	3	IG-A	ST13	7.197
LV3003061555	99	96	92	80	0.96969696969697	0.929292929292929	0.808080808080808	0.991194599354271	0.959708621287723	0.896709982122368	ko	2	IG-D	ST13	126.443
LV3003061556	539	511	483	411	0.948051948051948	0.896103896103896	0.76252319109462	0.988211169501797	0.925848671265971	0.855549467427129	ko	4	IG-B	ST13	86.6174
LV3003061557	531	483	463	394	0.909604519774011	0.871939736346516	0.741996233521657	0.968237338663081	0.933851020348517	0.845914671570754	ko	4	IG-B	ST13	58.082
LV3003061558	637	605	577	500	0.949764521193093	0.905808477237049	0.784929356357928	0.985351387128718	0.937023791810117	0.859253596307147	ko	1	G-A	ST13	42.626
LV3003061559	721	687	655	562	0.952843273231623	0.908460471567268	0.779472954230236	0.986453379022302	0.935612050860596	0.847351517028873	ko	1	G-A	ST13	21.069
LV3003061568	53	53	50	45	1	0.943396226415094	0.849056603773585	1	0.968724975531631	0.940564107126969	ko	2	IG-D	ST13	121.6354
LV3003061569	710	660	618	527	0.929577464788732	0.870422535211268	0.742253521126761	0.980285496452472	0.924074997326682	0.834495937251329	ko	4	IG-B	ST13	81.6946
LV3003061570	594	557	533	458	0.937710437710438	0.897306397306397	0.771043771043771	0.978768844221106	0.944066644698904	0.842023642804185	ko	4	IG-B	ST13	55.466
LV3003061571	558	544	514	459	0.974910394265233	0.921146953405018	0.82258064516129	0.995889311578176	0.958809385387308	0.909015077790276	ko	1	G-A	ST13	40.457
LV3003061572	943	862	813	711	0.914103923647932	0.862142099681866	0.753976670201485	0.97979470062653	0.93783918233255	0.775939388304313	ko	3	IG-A	ST13	19.099
LV7001898064	669	647	589	532	0.96711509715994	0.880418535127055	0.795216741405082	0.994409921602559	0.924890532001363	0.884010592831485	ko	3	IG-A	ST13	6.808
LV7001898076	1083	990	908	820	0.914127423822715	0.838411819021237	0.757156048014774	0.983317248617869	0.925630303941966	0.817982148501079	ko	3	IG-A	ST13	6.429
LV7001898088	734	680	648	548	0.926430517711172	0.88283378746594	0.746594005449591	0.989847619180713	0.916430451940687	0.896788721940524	ko	3	IG-A	ST13	6.031
LV7001898100	562	544	514	418	0.96797153024911	0.914590747330961	0.743772241992883	0.997552545079659	0.877281176868801	0.927136942622906	ko	5	IG-C	ST13	5.659
LV7008886221	472	462	437	384	0.978813559322034	0.925847457627119	0.813559322033898	0.996721348852586	0.958569979137929	0.897201290484388	ko	1	G-A	GeoB25202_R1	50.3555
LV7008886222	366	357	342	291	0.975409836065574	0.934426229508197	0.795081967213115	0.994144768477923	0.912274064435833	0.880476904364552	ko	1	G-A	GeoB25202_R1	136.2775
LV7008886226	428	424	401	359	0.990654205607477	0.936915887850467	0.838785046728972	0.998207840502492	0.970467648942985	0.891382947141451	ko	1	G-A	GeoB25202_R2	36.607
LV7008886228	85	85	79	74	1	0.929411764705882	0.870588235294118	1	0.907568862275449	0.925580838323353	ko	2	IG-D	GeoB25202_R2	120.0235
LV7008886229	903	844	801	709	0.934662236987818	0.887043189368771	0.78516057585825	0.983979551812804	0.934914300962389	0.876430834067977	ko	4	IG-B	GeoB25202_R2	68.149
