sample	module	module_abundance	n_taxa_in_module_sample	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	frac_taxa_with_comp	frac_taxa_with_ko	frac_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	tea_mode	state	state_label	core	age_kyr
LV3003047044	yellow	0.110618894083021	68	66	63	50	0.970588235294118	0.926470588235294	0.735294117647059	0.978228207719835	0.954872019012757	0.806430464118884	ko	1	G-A	ST8	12.078
LV3003047044	green	0.00309129752907723	7	7	6	5	1	0.857142857142857	0.714285714285714	1	0.896383186705767	0.78494623655914	ko	1	G-A	ST8	12.078
LV3003047044	blue	0.00180703413723185	5	5	5	4	1	1	0.8	1	1	0.769230769230769	ko	1	G-A	ST8	12.078
LV3003047044	brown	0.00118756591292996	2	2	1	2	1	0.5	1	1	0.450381679389313	1	ko	1	G-A	ST8	12.078
LV3003047045	grey	0.177549232955595	181	164	155	128	0.906077348066298	0.856353591160221	0.707182320441989	0.945708789416251	0.90274605978108	0.799029148057734	ko	5	IG-C	ST8	3.5865
LV3003047045	green	0.12462361843623	61	58	54	42	0.950819672131147	0.885245901639344	0.688524590163934	0.987033905775441	0.916145111269603	0.566092621827594	ko	5	IG-C	ST8	3.5865
LV3003047045	turquoise	0.673032654190356	201	201	192	158	1	0.955223880597015	0.786069651741294	1	0.945663770653569	0.821125809634746	ko	5	IG-C	ST8	3.5865
LV3003047045	yellow	0.0226283342537933	52	52	49	37	1	0.942307692307692	0.711538461538462	1	0.929428899285021	0.741768911642687	ko	5	IG-C	ST8	3.5865
LV3003047045	blue	0.00216616016402496	12	12	12	8	1	1	0.666666666666667	1	1	0.650069156293223	ko	5	IG-C	ST8	3.5865
LV3003047059	turquoise	0.321071033303149	94	94	89	75	1	0.946808510638298	0.797872340425532	1	0.954992361627953	0.786752320889968	ko	2	IG-D	ST8	107.683
LV3003047059	grey	0.648480732468055	62	60	53	54	0.967741935483871	0.854838709677419	0.870967741935484	0.992901749350297	0.720453046817424	0.964198440712152	ko	2	IG-D	ST8	107.683
LV3003047059	yellow	0.0270399436563035	12	12	12	11	1	1	0.916666666666667	1	1	0.930232558139535	ko	2	IG-D	ST8	107.683
LV3003047059	green	0.0034082905724922	1	1	1	1	1	1	1	1	1	1	ko	2	IG-D	ST8	107.683
LV3003047060	turquoise	0.64129092689573	106	106	101	85	1	0.952830188679245	0.80188679245283	1	0.969725136104103	0.800026556898154	ko	2	IG-D	ST8	106.686
LV3003047060	grey	0.295589049261293	40	37	35	33	0.925	0.875	0.825	0.967230824630897	0.942743968311127	0.907382066978754	ko	2	IG-D	ST8	106.686
LV3003047060	yellow	0.0482394516115298	11	11	11	10	1	1	0.909090909090909	1	1	0.931597528684907	ko	2	IG-D	ST8	106.686
LV3003047060	blue	0.00227785583514285	1	1	1	1	1	1	1	1	1	1	ko	2	IG-D	ST8	106.686
LV3003047060	green	0.0126027163963043	4	4	3	1	1	0.75	0.25	1	0.782094594594595	0.201013513513514	ko	2	IG-D	ST8	106.686
LV3003047061	turquoise	0.433517055700897	67	67	64	53	1	0.955223880597015	0.791044776119403	1	0.966897117412702	0.756034684790251	ko	2	IG-D	ST8	105.689
LV3003047061	grey	0.536968834929263	35	33	30	31	0.942857142857143	0.857142857142857	0.885714285714286	0.982261955442032	0.715245258029422	0.966605174778866	ko	2	IG-D	ST8	105.689
LV3003047061	yellow	0.0295141093698407	7	7	7	6	1	1	0.857142857142857	1	1	0.895869191049914	ko	2	IG-D	ST8	105.689
LV3003047062	grey	0.584121415497254	40	40	33	35	1	0.825	0.875	1	0.628323976150063	0.955694825260043	ko	2	IG-D	ST8	104.692
LV3003047062	turquoise	0.369000406752085	57	57	54	45	1	0.947368421052632	0.789473684210526	1	0.944264553909749	0.817499138821908	ko	2	IG-D	ST8	104.692
