sample	MEblack	MEgreen	MEbrown	MEturquoise	MEred	MEblue	MEyellow	MEgrey
LV3003061516	-0.0246905617696652	-0.0333136037688244	-0.0333980561304283	-0.0317340962500794	0.0531774155332359	0.0687935902320168	0.0609229112026995	-0.0273983288183848
LV3003061504	-0.0243285030615386	-0.034856236813279	-0.0334202063894301	-0.0319138471750367	0.0475454991012298	0.0651404052291158	0.0592110793107113	-0.0321209261990191
LV3003061486	-0.0244405624298121	-0.0327132419985925	-0.0510561807058751	-0.0547940709078726	-0.0674310888615425	0.0197611560862473	0.0489721580690098	-0.0125125942048576
LV3003061475	-0.0222739504721959	-0.0298739962976387	-0.0262402935654096	-0.0362954369468133	0.0237389453544884	0.0675563093182109	0.0544095564497049	-0.00553311068599642
LV3003061570	-0.0195324137203303	-0.0337772117886567	0.0550558649983677	-0.018096678172699	0.0571925439149159	0.0664886863226276	0.0490193686240213	-0.0199151488796064
LV3003061557	-0.0248554620956647	-0.0324508837561011	0.102634089594138	-0.0210355845897332	0.0288125980924758	0.0338683591325423	0.0395135892083399	-0.0199375518163001
LV3003061543	-0.0237596825096818	-0.0246134742934826	0.0948045572176244	0.0657507315598327	0.0621392268484696	0.0568929296566767	0.036616664833995	-0.0239048331926665
LV3003061529	-0.00194980055630525	0.00567440878898279	0.0938245796486794	0.111868886985346	0.0633172885394736	0.0541810058442955	0.0352246701928564	-0.00709246541623833
LV3003061515	-0.0139079939470748	-0.0209826813493665	0.236156573121693	0.108240281070725	0.0440415708058787	0.0498678666757244	0.015466681572425	0.00758975042685438
LV3003061503	-0.0239200184098667	-0.0184658003316634	0.0972365553686791	0.0420922278236217	0.0554528748400992	0.0647313483765087	0.0366481450526681	0.00846376064255012
LV3003061485	-0.0241684323410249	-0.0231513635642881	0.155143290713828	0.10283736102414	0.0429361664137298	0.0577072430185326	0.0238419711339774	0.0163801092805048
LV3003061474	-0.0280571635757174	-0.0214374625560961	0.0496280525110428	0.00389135850226987	0.0455887905635461	0.0668606899966751	0.0407012007844571	0.032975212349149
LV3003061569	-0.0280571635757174	-0.0268020112758591	0.115994810729868	0.0127523909082207	0.049738238325085	0.0672123899970532	0.0385487856573238	0.0453306068314678
LV3003061556	-0.024927594295352	-0.0294780848792854	0.0622834306166278	-0.0322216212868279	0.010888486362772	0.0639428306086252	0.0419394753972883	0.0186292742877282
LV3003061541	-0.0252061036619204	-0.0314075189101732	0.0203299797311325	-0.022337356628875	0.0358479909382103	0.0675408634273386	0.0421776773019851	0.0552484276740654
LV3003061528	-0.024098224556221	-0.0304820087529561	0.145877882336319	0.0562090819083674	0.0410652346240729	0.0553774029013134	0.0187284170322519	0.0327405433693598
LV3003061514	-0.0160972439832895	-0.0204473263439816	0.196346180921885	0.0921645824172702	0.0391006303067771	0.0521756012710386	0.01832465358436	0.0391565942340423
LV3003061501	-0.0280571635757174	-0.0307722154132199	0.0830216723981663	-0.0201900956547936	-0.028414524313119	0.0478998367214582	0.0253960523256521	0.0564676134087796
LV3003061489	-0.0280571635757174	-0.0330873306178196	0.0472874398951544	-0.0463292140162786	-0.11130782767607	-0.0684528720165938	-0.0461264054148327	-0.00292940506718456
LV3003061473	-0.0280571635757174	-0.0316300034106868	-0.0383101462390528	-0.0552920274285907	-0.106508687539529	-0.117315104454526	-0.0489772625843994	-0.0213849946494069
LV3003061568	-0.0280571635757174	-0.0360933707551427	-0.0539204114997123	-0.0567845261345946	-0.125172035795637	-0.156984886522125	-0.207490341270357	-0.0186186548784287
LV3003061555	-0.0280571635757174	-0.0360933707551427	-0.0530634951666827	-0.0581193476621479	-0.115937682376354	-0.148207762709496	-0.111557716345586	-0.0231689808959569
LV3003061539	-0.0280571635757174	-0.03377335306317	-0.0348712838433586	-0.0410020143180382	0.0634972950419819	0.00895857990353058	0.0323862940496619	-0.0265937476095901
LV3003061527	-0.0252118799430693	-0.0360933707551427	-0.0539204114997123	-0.0581193476621479	-0.125172035795637	-0.156736720007988	-0.200847371475198	-0.0199102061187474
LV3003061513	-0.0280571635757174	-0.0292547268647016	-0.032256307926699	-0.0437838526630122	0.0449469553446238	0.00888452898930269	0.0406647278834843	-0.0242354909198674
LV3003061500	0.0504912095943634	0.0983847706463074	-0.0408027340893815	-0.0294789479666568	0.0490367316922247	0.0321414687683847	0.0417303062648407	0.0111062904291306
LV7008886714	-0.0280571635757174	-0.0102418091705636	0.0724347993742185	0.00156638831563209	-0.0196282900573565	0.0305073843458914	0.0179509341522575	-0.0167711523489095
LV7008886690	0.0354365900906011	0.285821869168754	-0.0530712873602382	-0.0497474795458687	-0.102926941913119	-0.0972246000068079	-0.0650968062103671	0.00647942098115628
LV7008886751	0.358622634837843	0.259543886750466	-0.049013334064685	-0.0263146672601129	0.0263051431328333	0.0221854299709578	0.0190233927721897	0.0316110406817282
LV7008886727	0.143689620180749	0.0954834213439849	-0.0250770413467551	0.243546965148584	0.0748116990632403	0.0440487953230302	0.0149653355509273	-0.0141585971651184
