sample	MEbrown	MEgrey60	MEpurple	MEsalmon	MEmidnightblue	MEyellow	MElightyellow	MEred	MEmagenta	MElightcyan	MEgreenyellow	MEtan	MEblack	MEgreen	MEturquoise	MEpink	MEblue	MEcyan	MElightgreen	MEgrey
LV3003061517	-0.086531157221699	0.0933230296546454	-0.011079196539164	0.0812379654777199	-0.0997818022893166	-0.0903899460018883	-0.0906991127866188	-0.100489791388706	0.0504558475808606	0.0602341004483347	-0.0966123275484189	-0.0587757174556725	0.0958905039206912	0.0556592466244091	0.0317672029853996	0.0906175005252341	-0.0492888531154987	-0.000686064767061131	0.111048902189158	-0.113800847038582
LV3003061505	-0.0305880456716752	0.117007448765325	-0.0108603879003827	0.0117384612137588	-0.0272123375397862	-0.023644855057411	-0.0196191239402771	-0.0167558569397746	-0.0546524947725687	-0.038983939579402	-0.027862760102767	-0.0338818567511095	0.0725214466253188	0.077088708426815	0.0550735010690618	-0.0317280948314366	-0.032008982205382	-0.0313414411057769	-0.00429369373326454	-0.0490069969959292
LV3003061488	-0.0756411275138192	0.0929113450631021	0.00645651084009584	0.066223370478442	-0.0970317806645576	-0.0821656334839743	-0.0757217627452041	-0.0769394188871821	-0.0277883841043274	-0.0890720696054783	-0.0701224005606481	-0.0889047083244105	0.100787135898266	0.0569878975342687	0.0336386988202271	0.101537558123672	-0.0534473473174951	0.0830068423200692	0.106977328326892	-0.110957206890737
LV3003061476	-0.0604538310893254	0.109240725149466	-0.0336725285891952	0.0171598290135258	-0.0365219815064319	-0.0529282715310303	-0.0552726905660488	-0.0337440010724255	0.0277152362374515	-0.0204562889343466	-0.00308479911233362	-0.0435679480930453	0.0816285346811199	0.0530200023922398	0.0343183736374324	0.0044609922426792	-0.0801182724715499	-0.0374182310366903	0.0957962817675336	-0.05386103842753
LV3003061571	-0.0224926105652226	0.106949219172301	-0.000981371937718668	0.0199312540187573	-0.0236715671212783	-0.0199522243385969	0.0055073902442964	-0.0262114294726853	-0.0769801964796762	-0.0492148491861756	-0.0332629590553729	-0.038977407486463	0.0457638288897191	0.0643995404773191	0.0435948898367533	-0.0379142624786685	-0.0451873135936928	-0.0137460683724781	0.0806612973670065	-0.0736830724381663
LV3003061558	-0.0514682627853566	0.100475631315463	-0.0263648452897968	0.021586965537439	-0.0536456676918318	-0.0475802851418531	-0.0523880830271517	-0.0497593144921434	-0.000127008590249326	-0.059509547561531	-0.0447914146337687	-0.0498633378607758	0.0888443558243249	0.0646905185011508	0.0526723009188816	-0.000122486187351812	-0.0664613711064882	-0.0230868953488732	0.130225166867984	-0.0998384789335697
LV3003061544	-0.0406197249111521	0.0449385053083461	-0.0304793891854657	-0.0348089228280681	-0.0363428081898233	-0.0252566873264654	-0.0412668920383854	-0.0155253205749073	0.00207030996391535	-0.0469446297682904	-0.0354884389011695	-0.0337622857639331	0.0631908209120606	0.0737541170471985	0.0483885018590549	-0.0385149921391893	-0.048393959677532	-0.0401189884066568	0.0112564952105543	-0.0652343059051665
LV3003061530	-0.0159875398870246	-0.0127721538559229	0.00285588697652602	-0.00855871111978711	0.00332891188466012	0.00438297017752113	0.00873214412321028	0.0110351636848448	-0.0123070097339635	-0.0196464473814816	0.0130086338794056	-0.00955093112056729	-0.0168024431248456	0.0271775540986165	0.060657319886151	-0.0579731910308403	-0.0131454184901546	-0.0293454184861377	-0.0507606583172244	-0.00442388741240401
LV3003061516	-0.0229451895992622	-0.0112763858673358	0.0166367675879436	7.00186929560156e-05	-0.0127070577739273	-0.0113461368980005	-0.0029730499052793	-0.00121519140909903	-0.0334503798661526	-0.0224090091152034	-0.00846083897680849	-0.0193706252992899	0.0240345166760108	0.0605646089471662	0.0587501808102062	-0.0669152952441749	-0.027642840443892	-0.0281336359662363	0.00704611163132609	-0.0416507716562225
LV3003061504	-0.0218919454359562	0.0192405517473678	0.000853765195077062	-0.00575049875260319	-0.00901941998607203	-0.00868767419579745	-0.0115465323223236	0.00666419297124665	-0.0337735537857442	-0.0169223993425543	0.000870168612702688	-0.0195445008880094	0.00522729476782646	0.0544831161115998	0.0561643417898222	-0.0623626948357805	-0.0215230141568446	-0.0222337113698103	-0.00321072763582073	-0.034130677753874
