sample	MEblue	MEyellow	MEturquoise	MEred	MEblack	MEpink	MEbrown	MEgreen	MEgrey
LV3003047082	0.0432351588267772	-0.00292297338047527	0.0152104257041673	-0.0278734258393882	0.00735286330094815	0.00298641538366172	0.000303181593577385	-0.00203725671970366	0.0366426903111868
LV3003047067	0.0473742074513236	0.0774340512864224	-0.0325386609681935	-0.0240959142213833	-0.0321101310694492	-0.0371269838237056	-0.0561103364652656	-0.0301696622529266	-0.00453706982757656
LV3003047164	0.0369608597849873	0.00979845771858323	0.0150551264526401	-0.04168275020677	0.0107446254271285	-0.00351201738993077	-0.000796980908950492	-0.00342930422093742	0.0519460717768967
LV3003047152	0.0489336162948293	0.0488368818288764	-0.00868918802747705	-0.0144265709985883	-0.0124695785865986	-0.017560562554096	-0.0312687622428239	-0.0215624544913616	0.034245581020102
LV3003047140	-0.105063407350067	-0.0945383966709464	0.0739176218968732	-0.00421718150506874	0.0637356024287573	0.0486544175874861	0.0772379813050985	0.0473245595601598	0.0590474188772445
LV3003047127	-0.0166418507698126	-0.104467416464759	0.0492979520143363	-0.0228364814916642	0.0351363407145577	0.0242274432565082	0.0402125955223299	0.0275301488924075	0.0561810284333194
LV3003047110	0.0305252995737511	-0.0200220746822641	0.0248922753442523	-0.0344263315864096	0.0123259173190009	0.00373446717885405	0.00915019971222163	0.00327507583966709	0.0445446310559808
LV3003047094	0.0493352556704764	-0.013816236771968	0.000895436593739873	0.00408402311690347	-0.00839859711030393	-0.0173263808453752	-0.0217462061775795	-0.0177300543485697	0.0341054057953668
LV3003047081	0.02717385638125	0.0484140302180842	-0.0155692070623305	-0.0364826099681089	-0.0121104991150091	-0.0300080541953741	-0.0389249100721344	-0.0296917549825964	0.0193849489537177
LV3003047065	-0.051580132725052	-0.071579307480656	0.0412815647162413	-0.0254751415320613	0.0295556572876576	0.0177640550275863	0.0352623729081385	0.0393558167569783	0.04295926541025
LV3003047161	-0.190160709894253	-0.108177786903048	0.0923041606913389	0.00758152469960896	0.0776746849991043	0.0624440627680964	0.0981397485768682	0.0625988319307734	0.0629100622429639
LV3003047160	-0.198453444086376	-0.10918323184357	0.0942355964153636	0.00850208858675823	0.0788722551198022	0.0635199645788254	0.0997705555309698	0.0656881780492573	0.0628241017449193
