sample	MEleiden6	MEleiden5	MEleiden3	MEleiden1	MEleiden2	MEleiden4	MEgrey
LV3003061569	-0.0473857724742114	-0.0291270260806434	0.104988219260092	-0.0212732521566192	0.0607327909109034	0.0627577802017158	0.0149462761371241
LV3003061556	-0.0302959481027694	-0.0305064798548486	0.0338083487835702	-0.0346136513942163	0.00363469111626674	0.0395229196064814	-0.00228068341731363
LV3003061541	-0.0181184229847126	-0.0257657176954499	0.0176230553552475	-0.031318350801163	0.0365236663846787	0.0540982103281008	-0.00327032326918325
LV3003061528	-0.0446467241888247	-0.0302997449020369	0.17244399193618	0.0273413712774261	0.0670180941556401	0.0767188424731325	-0.0109412728926345
LV3003061514	-0.0347627902853985	-0.0267632614259137	0.227570974445944	0.0779204847070685	0.0805382526882374	0.0879478535143471	0.00412770745087878
LV3003061501	-0.0218404634758585	-0.0290927338335797	0.0572148629417704	-0.0300768817065951	-0.016619002116377	0.0422336554161593	0.000540313248655729
LV3003061489	-0.0249598653743344	-0.0300395769130822	0.00945806634939892	-0.0406246102625543	-0.0905905801278704	-0.0497154448564527	-0.0109151008203397
LV3003061473	-0.0473857724742114	-0.0316969347089044	-0.0502589328434569	-0.0434377079600132	-0.0890031074771679	-0.0965115141700362	-0.0183216844454355
LV3003061568	-0.0473857724742114	-0.0341921725023964	-0.0603367763424551	-0.0436754844183046	-0.108974356967593	-0.161124948269345	-0.0183216844454355
LV3003061555	-0.045617416331694	-0.0345569819263959	-0.0593113772634876	-0.0440428280500356	-0.0993030838193821	-0.131042343548216	-0.0183216844454355
LV3003061539	-0.0408193568516849	-0.0337998704308402	-0.0482014924533273	-0.0332672072214895	0.00024493883863022	-0.00671117051321898	-0.0183216844454355
LV3003061527	-0.0473857724742114	-0.0338263659768322	-0.0606922205649871	-0.0447015035211164	-0.111309101757376	-0.164111195251276	-0.0183216844454355
LV3003061513	-0.0473857724742114	-0.0311247353832217	-0.0476864824322539	-0.033110106175613	-0.0150052432825455	-0.0109417901484832	-0.0189955647970676
LV3003061500	-0.0445576853377539	0.0627844915436208	-0.0423871055047613	-0.0299247787252902	0.0147147225437653	0.0272818000392831	-0.012583279134145
LV7008886714	-0.0389341504698586	-0.0149505751658749	0.0753679503419776	-0.0219381307838669	-0.0180285034268556	0.0551032169104272	-0.0183216844454355
LV7008886690	-0.0473857724742114	0.183623122445559	-0.0542881145014892	-0.0360019555346744	-0.0947631488657979	-0.0482281813205442	-0.0108290184542081
LV7008886751	-0.045577747911743	0.244628416350578	-0.0462299178266198	-0.0219934542263375	0.007922070458167	0.0139822605602457	0.0235223036122645
LV7008886727	-0.0395301624411942	0.138056306755463	0.0380079400454382	0.222204245370311	0.115510490188873	0.0719177735035523	-0.0183670853608089
LV7008886703	0.27682376022462	-0.0133281406220242	-0.0134794399585471	0.0394891535495549	0.0876529884028154	0.0427645468087411	-0.00576312363786921
LV7008886776	0.201849372023618	-0.0268778758435303	0.0444208682911282	0.0617034994551714	0.100324587441834	0.0609204392659878	0.0013500501928349
LV7008886740	0.00616344825148015	-0.0295649266341976	-0.029426847541824	-0.0250555981161142	0.0433352365376814	0.0242190412162829	0.0125175747589803
LV7008886221	-0.0214937633514147	-0.0240239307494208	-0.0517284450903662	-0.0328698880873944	0.00319544980700038	0.0273697611464592	0.0154423802741672
LV7008886692	-0.0253275709728347	-0.0277298507274916	-0.0537588820101026	-0.0423664057554643	-0.060435342051133	-0.00578988153451216	0.00602414015543414
LV7008886765	0.00441461888874348	-0.0211057825549908	-0.0396895127241777	-0.0256565267402908	0.0339469195860835	0.0345083158175077	0.0293464254664851
LV7008886741	-0.0473857724742114	-0.0345760921903192	-0.0573292185952245	-0.042086641008437	-0.106370727295309	-0.141380521532606	-0.0176866283051754
LV7008886705	-0.00334929414212119	-0.0262523051483578	-0.0566536422191057	-0.0411080725959137	-0.102403846881222	-0.0671583676087341	-0.0183216844454355
LV7008886778	-0.0383073754008122	-0.0202654856737359	0.165439917734134	-0.00587159814826225	0.0546656713493569	0.076286726730092	0.292251787187044
LV7008886754	0.0172846175184798	0.00213073605041882	0.216426537287329	0.0275357853061912	0.0647778867035287	0.0779165164868017	0.176433368038307
LV7008886730	-0.00599338638877557	-0.0124916983840731	0.11513600745001	-0.00273924838794903	0.0615487712834117	0.0792363012123195	0.249218606311269
LV7008886706	-0.0439226463844478	-0.0166986285300548	0.109854833597996	-0.0118110675579191	0.0455174702892347	0.0714510158057815	0.252130170455094
LV7008886743	-0.0473857724742114	-0.0220820070532329	0.00137804768498013	-0.0396604776918133	-0.0586497361220745	0.0340998020222176	0.358222117704696
LV7008886719	-0.0385901735377858	-0.0177845571818817	-0.0425987197632711	-0.0404928972028477	-0.0793895322975707	0.0242122992689125	0.252955465667896
LV7008886695	-0.0419624744094375	-0.0207917134598061	0.0433214690482031	-0.0342649247803235	-0.0136467371530973	0.0563679210037838	0.36148156621844
LV7008886768	-0.0426617473837734	-0.0239792444330103	0.062095920973873	-0.0384812219113569	0.0109235302888963	0.0530113535315476	0.334206584246918
LV7008886744	-0.0445167968704427	-0.0165719889788085	-0.0273943111278011	-0.0398354910137743	-0.101833350355554	0.00435611471436914	0.327135000885598
LV7008886708	-0.028946151283499	-0.00478842175056819	0.00768373933106869	-0.037570434531533	-0.0809931016226108	0.0288778327324147	0.373273918566194
LV7008886781	-0.0473857724742114	-0.0351345564866786	-0.060116501077052	-0.0442577798293092	-0.107561285185097	-0.158359680237728	-0.0186078358144665
