taxon	module
S__3300025238_24	leiden2
S__3300025243_2	leiden1
S__3300025243_6	leiden2
S__3300025269_14	leiden2
S__3300025276_12	leiden4
S__3300025425_1	leiden1
S__3300025425_9	grey
S__3300025438_1	leiden6
S__3300025465_9	leiden6
S__3300025484_25	leiden1
S__3300025499_1	leiden6
S__3300025502_9	leiden1
S__3300025506_5	leiden4
S__3300025513_19	leiden4
S__3300025575_16	leiden6
S__3300025584_9	leiden5
S__3300025603_9	leiden1
S__3300025623_36	leiden4
S__3300025632_12	leiden1
S__3300025632_6	leiden1
S__3300025661_25	leiden5
S__3300025663_12	leiden5
S__3300025665_13	leiden1
S__3300025665_31	leiden3
S__3300025668_13	grey
S__3300025673_14	leiden1
S__3300025673_9	leiden1
S__3300025690_38	leiden4
S__3300025699_19	leiden3
S__3300025705_15	leiden2
S__3300025705_16	leiden2
S__3300025707_32	grey
S__3300025719_14	leiden2
S__3300025721_23	leiden1
S__3300025721_8	leiden6
S__3300025731_28	leiden1
S__3300025775_21	grey
S__3300025775_43	leiden3
S__3300025792_6	leiden6
S__3300025798_6	leiden1
S__3300025802_1	leiden4
S__3300025816_12	leiden2
S__3300025823_18	grey
S__3300025851_30	leiden3
S__3300025857_25	leiden6
S__3300025860_15	leiden2
S__3300025874_44	leiden2
S__3300025880_24	leiden2
S__3300025890_25	leiden1
S__3300025892_34	leiden4
S__3300025894_53	leiden4
S__3300025895_7	leiden3
S__3300025897_34	leiden2
S__3300025899_14	leiden5
S__3300026074_4	leiden4
S__3300026079_16	leiden1
S__3300026079_4	leiden3
S__3300026079_40	leiden5
S__3300026080_15	leiden4
S__3300026084_20	leiden2
S__3300026084_3	leiden1
S__3300026084_6	leiden5
S__3300026087_14	leiden2
S__3300026087_19	leiden3
S__3300026087_6	leiden1
S__3300026093_7	leiden1
S__3300026108_2	leiden4
S__3300026108_4	leiden4
S__3300026119_12	leiden5
S__3300026119_15	leiden1
S__3300026119_19	leiden1
S__3300026119_8	leiden4
S__3300026133_1	leiden5
S__3300026144_3	leiden5
S__3300026190_2	leiden2
S__3300026193_11	leiden3
S__3300026193_4	leiden1
S__3300026202_4	leiden3
S__3300026204_31	leiden3
S__3300026208_3	leiden1
S__3300026212_19	leiden1
S__3300026253_28	leiden4
S__3300026253_32	leiden3
S__3300026253_8	leiden4
S__3300026254_18	leiden1
S__3300026262_8	leiden3
S__3300026264_14	leiden1
S__3300026264_27	leiden2
S__3300026264_29	leiden2
S__3300026264_34	leiden4
S__3300026265_18	leiden3
S__3300026267_11	leiden4
S__3300027048_7	grey
S__3300027327_10	leiden2
S__3300027406_20	leiden1
S__3300027506_11	leiden2
S__3300027582_23	grey
S__3300027607_15	leiden4
S__3300027622_6	leiden3
S__3300027668_17	leiden1
S__3300027668_18	leiden4
S__3300027672_19	leiden1
S__3300027672_20	leiden1
S__3300027677_15	leiden1
S__3300027677_4	leiden3
S__3300027685_11	leiden4
S__3300027685_13	leiden1
S__3300027685_16	leiden4
S__3300027685_18	leiden4
S__3300027685_19	leiden1
S__3300027685_28	leiden1
S__3300027685_29	leiden1
S__3300027685_31	leiden2
S__3300027685_33	leiden4
S__3300027685_35	leiden1
S__3300027685_36	leiden2
S__3300027685_46	leiden3
S__3300027685_49	leiden2
S__3300027685_58	leiden4
S__3300027685_7	leiden4
S__3300027685_9	leiden1
S__3300027687_10	leiden2
S__3300027687_20	leiden4
S__3300027687_7	leiden4
S__3300027700_11	leiden1
S__3300027700_13	leiden4
S__3300027700_39	leiden1
S__3300027700_7	leiden3
S__3300027706_22	grey
S__3300027709_24	leiden1
S__3300027714_13	grey
S__3300027752_14	leiden1
S__3300027752_17	leiden4
S__3300027752_30	leiden1
S__3300027755_21	leiden3
S__3300027755_29	leiden3
S__3300027760_22	leiden1
S__3300027771_26	leiden4
S__3300027779_19	leiden1
S__3300027779_22	leiden4
S__3300027779_23	leiden1
S__3300027779_25	leiden3
S__3300027779_26	leiden2
S__3300027779_27	leiden2
S__3300027779_34	leiden4
S__3300027779_9	leiden2
S__3300027780_12	leiden4
S__3300027780_15	leiden4
S__3300027788_10	leiden4
S__3300027788_14	leiden2
S__3300027788_37	leiden2
S__3300027788_44	leiden3
S__3300027788_48	leiden4
S__3300027791_18	leiden4
S__3300027791_27	leiden4
S__3300027791_31	leiden2
S__3300027801_13	leiden2
S__3300027801_18	leiden1
S__3300027801_21	leiden4
S__3300027801_51	leiden2
S__3300027801_7	leiden4
S__3300027810_12	leiden4
S__3300027810_25	leiden3
S__3300027813_28	leiden1
S__3300027819_26	leiden3
S__3300027827_16	leiden4
