sample	core	age_kyr	d18O	sst	MEleiden6	MEleiden5	MEleiden3	MEleiden1	MEleiden2	MEleiden4	analysis_partition	harmonization_mode
LV3003047082	ST8	41.9168333333333	4.50083166666667	8.48140374041344	-0.492454378029824	-0.358818667787825	-0.524686390355508	-0.483092341936629	-0.222327227354378	0.27914638208456	training	corewise_z
LV3003047067	ST8	42.86602	4.4653592	8.33857306903406	0.21874694051697	-0.163716947128927	-0.0637877660259107	-0.304930341704722	0.945642042726745	0.696121023790816	training	corewise_z
LV3003047164	ST8	43.93302	4.4786604	8.37946113303367	-0.00114782626961289	-0.366958677381545	-0.636610283107317	-0.458153130418739	-0.0756907504201459	0.227865578052756	training	corewise_z
LV3003047152	ST8	45.00002	4.3300006	8.47849004532337	-0.125808260134488	-0.340652795135673	-0.334716971896725	-0.444393007397959	0.563320652011624	0.491807943292607	training	corewise_z
LV3003047140	ST8	46.0948	4.361896	8.58009723613548	-0.633584353800336	-0.433019748857837	-0.703494374111011	-0.544158557531181	-1.18799527226972	-1.4479860721687	training	corewise_z
LV3003047127	ST8	47.6248	4.423736	8.72209745713196	-0.63538612093269	-0.313679892016022	-0.690872838338068	-0.524268306411751	-1.00100348583689	-0.500823230189735	training	corewise_z
LV3003047110	ST8	49.1548	4.441424	8.86409767812845	-0.468063171854783	-0.383007091182745	-0.651172730835047	-0.480774624086743	-0.341519152123911	0.133404188892358	training	corewise_z
LV3003047094	ST8	50.6848	4.333152	8.71916462667657	-0.437579549644619	-0.362499552009756	-0.213144981696332	-0.462006302366607	-0.019151136887951	0.52386779467731	training	corewise_z
LV3003047081	ST8	52.20718	4.3369334	7.53394237030326	0.0177961077356652	-0.269132748366948	-0.240368603294929	-0.169757223821713	0.624888002647005	0.489394628136212	training	corewise_z
LV3003047065	ST8	53.61018	4.4033892	6.44166131978254	-0.683036716743389	-0.0953027140982608	-0.63812122937095	-0.346474540877882	-0.739781447187671	-0.616404934900085	training	corewise_z
LV3003047161	ST8	54.98346	4.3111578	6.47543092855096	-0.683036716743389	-0.416424446394793	-0.702979506032089	-0.541880109923805	-1.45554730045678	-2.1557621712246	training	corewise_z
LV3003047160	ST8	55.8911266666667	4.34564506666667	6.67190717786631	-0.683036716743389	-0.402254356474464	-0.704355073704345	-0.533321330699119	-1.496022169638	-2.24147727630198	training	corewise_z
LV3003047159	ST8	56.7987933333333	4.41390346666667	6.86838342718166	-0.577839995786666	-0.355896861204961	-0.390532325023301	-0.49764842869495	-0.398060611420055	0.193028051500508	training	corewise_z
LV3003047158	ST8	57.70646	4.4723876	7.06485967649701	-0.580797691533631	-0.323958368973544	-0.672048958825164	-0.272228355486882	0.138305225608304	-0.162232671509492	training	corewise_z
LV3003047139	ST8	58.6141266666667	4.4531524	8.62798528680874	-0.655086450717758	-0.351738432005763	-0.67539496274646	-0.329842450679223	0.0532708404695472	-0.113123781146331	training	corewise_z
LV3003047150	ST8	59.5217933333333	4.51870486666667	8.44254713374637	-0.503001781219264	-0.222465417343503	-0.460470791235889	-0.0232666522807959	0.749445449667931	0.430966037898965	training	corewise_z
LV3003047149	ST8	60.4317	4.561147	7.85555370343168	-0.683036716743389	-0.256181608706392	-0.594158835250478	-0.450062914706648	-0.318699522950834	0.105646763195109	training	corewise_z
LV3003047148	ST8	61.3767	4.543903	7.88451611411687	-0.637795690297777	-0.2164232258649	-0.643835710709101	-0.405744819195198	-0.0854849600112184	0.242435226358636	training	corewise_z
LV3003047147	ST8	62.3217	4.577481	7.91347852480206	-0.596708470643693	-0.250846744828681	-0.561716218294047	-0.348027048803368	0.227387687160339	0.234321234954912	training	corewise_z
LV3003047146	ST8	63.2667	4.484661	7.94244093548725	-0.358718811795674	-0.141291825742787	-0.180294521557559	0.0568467108869943	0.887101247554522	0.674219233217411	training	corewise_z
LV3003047126	ST8	64.210824	4.38529888	7.97137649847746	-0.600246791230649	-0.363027791313854	-0.59366795371738	-0.459212827071092	-0.276463103674021	0.142917667897537	training	corewise_z
LV3003047138	ST8	66.0158	4.567946	8.02669549973556	-0.60969446041637	-0.319563136690843	0.036819587704647	-0.464491065197897	-0.525912191785887	0.351847235707413	training	corewise_z
LV3003047137	ST8	66.9462	4.446994	8.05521044883768	-0.448961315441806	-0.24436562627745	-0.613120165747976	-0.423415361039689	-0.424361137901936	-0.270463317945028	training	corewise_z
LV3003047136	ST8	67.8766	4.422468	8.08372539793979	-0.683036716743389	-0.367695611953103	0.564117775673296	-0.453400940239597	-0.114523557309839	0.449098811721978	training	corewise_z
LV3003047134	ST8	68.807	4.46035	8.5256420642359	-0.641367856101963	-0.350384856356872	1.0777601782843	-0.443022028915502	-0.672840386344852	0.166198959630219	training	corewise_z
LV3003047133	ST8	70.162	4.3038	9.41847614468938	-0.383339897065254	-0.394125932886985	-0.319393446186732	-0.499836574545559	-0.272716525732174	0.442105117648033	training	corewise_z
LV3003047107	ST8	71.517	4.21483	10.3113102251429	-0.577236975729148	-0.35687277005529	-0.247864219289675	-0.498233240293912	-0.0524949601675611	0.517967720282876	training	corewise_z
