sample	core	age_kyr	d18O	sst	MEleiden6	MEleiden5	MEleiden3	MEleiden1	MEleiden2	MEleiden4	harmonization_mode
LV3003047063	ST8	103.695	3.9078	8.08727062917724	-49.0700850613466	-51.9671614634062	-134.122244147816	-112.031194750835	-222.094107838622	-395.201269700016	corewise_z
LV3003047064	ST8	96.283	3.77264	6.64358420103273	-49.0700850613466	-50.2722730921971	-133.279190150082	-112.651539217011	-248.78291856005	-419.275667241489	corewise_z
LV3003047065	ST8	53.61018	4.4033892	6.44166131978254	-49.0700850613466	-18.8267568038302	-124.634527893344	-78.6518071914813	-133.244041777889	-139.409758610826	corewise_z
LV3003047067	ST8	42.86602	4.4653592	8.33857306903406	16.9320825456338	-26.4043025632008	-42.7782357182847	-71.6278067259129	113.380136051372	81.2949688878105	corewise_z
LV3003047068	ST8	37.78969	4.4205155	9.10244349358346	-17.2955717361739	-46.9137900939757	-125.110687165855	-79.6484785654084	21.6765570487375	42.8220415054137	corewise_z
LV3003047069	ST8	33.7436870748299	4.5874368707483	8.82643927310517	-4.26461148665966	-37.3077786509989	-111.797075217686	-91.0058897352268	44.64635082497	38.1095148896837	corewise_z
LV3003047070	ST8	30.128	4.62	8.25318031257889	153.975606283447	-33.5186535056942	-122.520586574161	-75.5221671197619	50.4143662545996	25.8680145650816	corewise_z
LV3003047071	ST8	26.141	4.68128	7.78787645806057	115.373827604613	-33.393060255737	-97.8645602875596	17.3311431545114	139.244579068795	59.1749101284961	corewise_z
LV3003047073	ST8	101.685	3.8789	7.56570434574025	-49.0700850613466	-54.636562994357	-134.123552819968	-112.397725901814	-249.34035726171	-437.837840510195	corewise_z
LV3003047074	ST8	100.672	3.88392	7.39278548113664	-49.0700850613466	-48.2836957833011	-133.0734939503	-112.64349018894	-247.567699910986	-428.025681671946	corewise_z
LV3003047077	ST8	99.7145	3.801435	7.22934045363618	-49.0700850613466	-47.739976649362	-133.308193431553	-110.859772956976	-192.62211623649	-308.315884900104	corewise_z
LV3003047078	ST8	98.757	3.80916	7.06589542613573	-49.0700850613466	-53.6847919314767	-133.113575290483	-112.513869512632	-232.592152734354	-398.982564894721	corewise_z
LV3003047079	ST8	97.52	3.8664	6.85473981358423	-47.7489824254361	-35.0437998683892	42.4656480602111	-101.80169572027	-161.213904048493	-115.965206621473	corewise_z
LV3003047080	ST8	87.9935	4.110455	8.44662940914954	-49.0700850613466	-38.4092070789572	-42.5759412485344	-101.244755972996	-73.4264436244475	62.2781517643468	corewise_z
LV3003047081	ST8	52.20718	4.3369334	7.53394237030326	2.22435254940869	-38.080134071593	-67.9452397856166	-48.7736884172354	66.444928435334	46.533376160737	corewise_z
LV3003047082	ST8	41.9168333333333	4.50083166666667	8.48140374041344	-35.121232294467	-48.0137272477143	-108.467342942638	-101.75018235192	-57.52614518138	11.1795749314052	corewise_z
