sample	MEgrey	MEleiden1	MEleiden2	MEleiden3	MEleiden4	MEleiden5	MEleiden6
LV7008886756	24.9084084894986	-6.73073578411143	-9.38396546106405	-3.33000569830259	4.41691296925701	-2.81985289869722	-3.13056274347296
LV7008886720	35.6508754338952	-5.29238192004407	-8.2216966867604	8.62340899819528	6.47565057163419	-1.75125482855716	-1.03874387099731
LV7008886228	-1.42079330399422	-7.52224344381708	-15.0644298275601	-8.51642813639047	-25.1335233448372	-3.37283620727784	-3.28606516191943
LV7008886769	0.966282739687384	-6.9319151575156	-11.4250194012594	-8.58073889420449	-18.8642660671352	-2.60271043359046	-3.46819735736922
LV7008886745	0.318597866068311	-7.10984868169336	-9.7111062040802	-7.71130461395536	-7.57607841824743	-3.71942180991012	-3.22441321923623
LV7008886721	0.641576504995118	-5.55620701543773	1.01582475002336	-4.46451991906672	2.76076711953541	-2.1653968217007	-3.46819735736922
LV7008886782	-1.52396672007047	-4.85058363264465	1.25048333955404	-6.48131019552256	0.572096551420407	-3.23227956327837	-2.46263293988106
LV7008886758	0.00229727040287639	-7.11736814008115	-14.9144839221463	-8.28240466135316	-20.419778610945	-3.39393542562168	-3.46819735736922
LV7008886223	1.16958912946565	-6.44254574206835	-9.58371630432722	-8.06835105595039	-9.30286620323848	-3.5116970292559	-1.5323593197322
LV7008886710	6.94233124532766	-7.30347883252539	-11.8409476888943	-8.34603962929957	-7.2792904110349	-2.66042127697311	-3.04487708076297
LV7008886783	2.74048720441694	-7.31964637909974	-13.2024231604029	-8.53195852089719	-14.1861715883997	-3.18758664535685	-3.46819735736922
LV7008886747	0.83248336326206	-7.17201180456858	-9.83244312301488	-8.23074106456978	-6.76841997351127	-3.03683458148188	-3.46819735736922
LV7008886723	5.0901850806583	-0.234250343292217	4.34716114349998	-1.37186847945484	4.89345719071056	-1.96830781714011	1.58420047313424
LV7008886699	5.31733249748323	-7.48242974661472	-15.1057215731291	-8.32295232171486	-16.8162925723156	-3.08566220373126	-3.46819735736922
LV7008886772	4.86792914858289	-7.42391941145323	-15.3956310565319	-8.0588721599294	-17.2451383051882	-3.56341097337586	-3.46819735736922
LV7008886748	8.28989337083694	-6.5800327569025	-6.67343305897137	-0.510026190372379	-0.162084297653235	-2.71837944271626	-2.75189676331914
LV7008886712	13.6240182678264	-7.21627984273321	-10.5314140122343	-4.4779541448374	-0.294685350220595	-2.21056647210336	-3.25541366426635
LV7008867165	2.52925565179352	-7.35886778921187	-15.9562353543446	-7.07857334837912	-17.985127597769	-3.3562125653459	-3.46819735736922
LV7008867141	-0.591100473978245	-7.13446248163323	-11.7345177828671	-8.27073608512189	-15.0375546640018	-3.69039123000018	-3.44709855504687
LV7008867117	-0.894208944177663	-7.45624434561403	-15.0107877661691	-8.56104916634607	-17.2286597033447	-3.86080453681927	-3.46819735736922
LV7008867154	2.68823373727429	5.36486709876162	9.46291610756727	-0.637792746079359	7.36697738854329	-1.2787264294143	3.05933253036181
LV7008867130	34.2349451682732	0.861837496215385	8.38049510482941	9.95633050965311	12.7604299040622	3.47776181855833	5.49004727280631
LV7008867106	30.4166149548976	-0.123963374240802	7.91854735368899	5.7688773053973	11.5842669228112	0.477295811998349	1.05037106596473
LV7008867179	10.9732690193883	-0.573417812914795	7.14377792197272	2.34749389459416	8.74373714564313	-0.695075509295005	-2.63844896358533
LV7008867143	28.7508605790931	-2.71673660433557	1.81020167288042	5.36732246701897	9.10957237501986	0.579196265278134	0.120623672918779
LV7008867119	33.5221628217453	9.05794615466703	11.4167626729501	23.0979369210909	13.9891990960814	0.949818171300702	0.902223630848342
LV7008867168	-0.602367115288753	-7.52224344381708	-17.9588585767218	-8.36050045935192	-31.7922363658914	-3.55771849853474	-3.46819735736922
LV7008867144	1.3024763910103	-7.30163240580193	-17.4100348350877	-8.48805865292653	-26.9369700408232	-2.49106371573423	-3.46819735736922
LV7008865054	-0.935940187127418	-7.04694822224555	-9.36803774151135	-7.94140054750332	-11.8401921054907	-3.00818498158701	-2.75112829104384
LV7008867181	3.08046117525084	-6.18503006140316	-7.58933306834699	-7.25603750819909	-5.42071562733074	-2.8469864393034	-2.77684450300159
LV7008867157	-0.972008533400945	-7.12257907022193	-9.03624135913583	-7.71461572413397	-9.26202315030042	-3.30274687226517	-2.61662084980438
LV7008867133	12.0116169333813	-6.71508203859668	-11.1527452249866	-7.72532289293211	-12.9322261091434	-2.12285967411709	-2.76079122032292
LV7008867109	20.2917714809776	-4.6724971581493	2.00976796054719	1.12917743145887	6.34793064938672	-0.94385246113425	-2.92922286151467
LV7008867170	30.8742964382984	-6.26289494085819	-9.05566815315334	-3.62829897447447	1.73142622527253	-0.200141300452147	-3.46819735736922
LV7008867146	34.4698671067603	-3.43210782602656	-0.844782422033046	11.7005068488479	8.09749855099693	-0.468424792195711	-2.721360185094
LV7008867122	34.1789904248183	-6.77178485874036	-13.1838518523187	-3.64612146106155	-4.93824046368118	1.18843773814537	-2.4624202190524
LV7008867171	32.4472503937976	-6.18227592448006	-10.585819329587	0.281466233579263	-1.8528092054705	1.64590917209388	-1.49907081373101
LV7008867147	37.8320067700029	-4.32693474678998	-11.5389792416874	12.1678242076354	-0.0475067231269002	5.16016834088463	-3.46819735736922
LV7008867111	29.7783700582255	-6.75493171946167	-13.5463896936329	0.475865943848136	-6.15899983817791	-0.0296004281018049	-3.46819735736922
LV7008865063	0.861015451650485	-6.46027306825565	-10.9350650247049	-8.01409910364051	-12.3665874068513	-2.56988809271565	-3.46819735736922
LV7008867160	5.27133595975406	-5.32795313600524	-2.80378119792252	-6.98081953835168	-2.72163155100152	-1.0954546143592	-3.46819735736922
LV7008867136	5.33472505819475	-6.93460574822598	-13.9392247134535	-8.15769660967638	-19.1712389173707	-1.0294571678056	-3.21983321678572
LV7008867173	2.27161857079895	-7.28315984220128	-17.7332997307435	-8.32822600306095	-26.1507217255925	2.15413464210874	-3.46819735736922
