sample	core	age_kyr	d18O	sst	MEbrown	MEgreen	MEblue	MEturquoise	MEyellow	analysis_partition	harmonization_mode
LV7001898100	ST13	5.659	3.30613	6.37410536713431	-0.494276758517056	1.75654933193504	-0.256615321496656	0.423006488223954	-0.265455030207444	training	corewise_z
LV7001898088	ST13	6.031	3.33124	6.31439442739767	-0.416223681582621	1.19134228944479	0.220853056686939	0.763701812916107	0.831303293745201	training	corewise_z
LV7001898076	ST13	6.429	3.34716	6.25051014241062	2.70443333148455	0.605105205718066	2.70140292826347	1.04804262911504	1.24023356370278	training	corewise_z
LV7001898064	ST13	6.808	3.36232	6.18967560972194	2.37570245688094	-0.774056907995004	0.0037599441065853	0.385605382727635	0.428905239786846	training	corewise_z
LV3003061546	ST13	7.197	3.37985	6.14534613060279	3.10223536953835	-1.25310084337653	-0.458418319819345	-0.620103886071334	-0.981400161604608	training	corewise_z
LV3003061533	ST13	7.912	3.4156	6.23449698261132	3.31406805091002	-1.03110001579077	-0.459238486820672	-0.0556672642968057	-0.228413955754881	training	corewise_z
LV3003061518	ST13	9.804	3.49256	6.47040385254158	0.297744260401156	0.1523808275391	1.74600104755074	0.800189612347817	0.942586800771906	training	corewise_z
LV3003061506	ST13	11.95	3.904	6.73798109507347	1.48048613818395	-1.09351269058072	-0.538356836396439	-0.14463383898331	-0.255475298234125	training	corewise_z
LV3003061492	ST13	14.437	4.37177	7.04807643625558	1.69502233789054	0.0347748612521601	2.94743097208764	1.05739665714992	1.29658303142939	training	corewise_z
LV3003061477	ST13	16.726	4.84438	7.31209108888136	0.280309423645713	0.164935660328213	2.97431770662429	1.02713540422308	1.28700216047391	training	corewise_z
LV3003061572	ST13	19.099	4.96297	7.43201022654066	0.620066649270221	-0.258950498222417	2.70626296230416	0.939945633476956	1.21215258218882	training	corewise_z
LV3003061559	ST13	21.069	4.90793	7.53156383007576	-0.246688790075096	-0.27460363813511	-0.145426035404664	0.36674564324739	0.60331074263803	training	corewise_z
LV3003061545	ST13	23.172	4.8514	7.63783856522009	-0.246523539645811	-0.70417947940445	0.255710003698922	0.449942374752612	0.704319688577705	training	corewise_z
LV3003061531	ST13	28.445	4.7411	7.98634449117112	-0.197230725504166	0.0897922574360143	0.278329576514952	0.554174413673012	0.728770960247356	training	corewise_z
LV3003061517	ST13	30.678	4.62	8.34038156140496	-0.368560227616248	0.673801685468368	0.43872348306792	0.60616019974458	0.765351670504137	training	corewise_z
LV3003061505	ST13	32.81	4.5838	8.67840531139984	-0.43035805001821	-0.968619370941811	-0.454632531024035	0.105173304229011	0.283944502913234	training	corewise_z
LV3003061488	ST13	35.041	4.53631	9.03212528618341	-0.253160033492128	-0.255670794505309	0.16306712414767	0.51834357467555	0.687885155273042	training	corewise_z
LV3003061476	ST13	37.16	4.452	9.19719729556924	-0.434244504475798	0.177202881132797	-0.513426571077431	0.173466095343505	0.449990716148719	training	corewise_z
LV3003061571	ST13	40.457	4.53172	8.70107494147892	-0.262261544812401	-1.20577903102832	-0.526202615033179	0.032249322131729	0.0786237767376593	training	corewise_z
LV3003061558	ST13	42.626	4.47496	8.37469053564879	-0.441863608913596	-0.252418578318551	-0.432330902831941	0.310372357857241	0.43684395603544	training	corewise_z
LV3003061544	ST13	45.122	4.33366	8.48981108255027	-0.454829933197825	-0.249885358452346	-0.539585448772186	0.148057117361707	0.33237253902313	training	corewise_z
LV3003061530	ST13	47.046	4.38322	8.66837868071839	-0.494276758517056	-0.699252070808437	-0.621980073903163	-0.214827329069701	-0.332765169684894	training	corewise_z
LV3003061516	ST13	48.537	4.45537	8.80675928823849	-0.494276758517056	-0.826411479159432	-0.617278172726722	-0.00174156517289594	-0.0403721483054354	training	corewise_z
LV3003061504	ST13	50.268	4.33732	8.96741444022863	-0.494276758517056	-0.89631613916379	-0.649467391076937	-0.0956949609808956	-0.0405281853896829	training	corewise_z
LV3003061486	ST13	52.105	4.32365	7.61349281773178	-0.494276758517056	-1.22378758172578	-0.649467391076937	-0.725996115962327	-1.33101828474629	training	corewise_z
LV3003061475	ST13	53.844	4.38936	6.25962485846197	-0.494276758517056	-0.699025509570138	-0.630596324348139	-0.122759525301099	-0.218989343778338	training	corewise_z
LV3003061570	ST13	55.466	4.32864	6.57988298438419	-0.494276758517056	0.567045094992564	-0.610135359998324	0.232254753006524	0.227431440016133	training	corewise_z
LV3003061557	ST13	58.082	4.48508	7.14615019137165	-0.494276758517056	0.867176308518987	-0.619702560167172	-0.0750415434523523	0.000346330527543942	training	corewise_z
