sample	MEbrown	MEgreen	MEblue	MEturquoise	MEyellow	MEgrey
LV3003047140	-0.0294846378201382	-0.0650349308829091	-0.0344572624621079	-0.118108298045728	-0.103065592986809	-0.0761910986117332
LV3003047127	-0.0279219518419753	-0.0650349308829091	-0.0344572624621079	-0.0483648749093303	-0.100979581443612	-0.0658117285140044
LV3003047110	-0.0294846378201382	-0.0606940174832924	-0.0344572624621079	-0.0071844109296021	-0.0245209737107269	-0.0514344710636684
LV3003047094	-0.0294846378201382	-0.00246636781292904	-0.0334115181304	0.0189347249892509	-0.000436757471630968	-0.0367668374054429
LV3003047081	-0.02591692471461	-0.0288635807548046	-0.0260255960259991	0.0225051999202129	0.0223306355229512	0.000468532767397422
LV3003047065	-0.015130530596419	-0.0650349308829091	-0.0295278054914919	-0.0629705296027252	-0.07037004254867	-0.0497601940632617
LV3003047161	-0.0294846378201382	-0.0650349308829091	-0.0344572624621079	-0.177140276529977	-0.126417162169417	-0.0786873976940965
LV3003047160	-0.0294846378201382	-0.0650349308829091	-0.0344572624621079	-0.183092848255137	-0.132227942394117	-0.0788753460675671
LV3003047159	-0.0277734014233402	-0.0242085047611287	-0.0344572624621079	-0.00042860499014125	-0.025518851534361	-0.0538464552015287
LV3003047158	-0.0265556903376158	-0.0609801061404532	-0.0295184729608292	-0.0222791482481676	0.0147866691045568	-0.0385783699024508
LV3003047139	-0.0278657630742204	-0.0650349308829091	-0.0319238933639242	-0.0180602856835853	0.0114250195172508	-0.0417509073531424
LV3003047150	-0.0224740418665176	-0.0560847735354261	-0.0191049644432819	0.0203779743312219	0.0558966165086897	-0.00580736316236153
LV3003047149	-0.0278996933687117	-0.0509818794609542	-0.0327928678093645	-0.00599083602038977	-0.0197405097435798	-0.053220969248752
LV3003047148	-0.0263352717750636	-0.0566423231472955	-0.0318869355222035	0.00550521352259007	0.00428369286641256	-0.0488865664111884
LV3003047147	-0.0248379689568779	-0.0580698438482972	-0.0317614245192184	0.00445362027664519	0.0269208896759664	-0.033827667433238
LV3003047146	-0.0224127787853409	-0.0433646691579314	-0.0157645223022723	0.034912158761349	0.0563502496599586	0.0162989229149001
LV3003047126	-0.0294846378201382	-0.0538154845656846	-0.0334035548522729	-0.00153779315711149	-0.00942352445576867	-0.0551804811477837
LV3003047138	-0.0294846378201382	0.0547637386701048	-0.0344572624621079	0.00896726079462465	-0.0338299988089344	-0.0561826584140339
