sample	core	age_kyr	d18O	sst	MEbrown	MEgreen	MEblue	MEturquoise	MEyellow	harmonization_mode
LV3003047037	ST13	208.787	3.65491	8.40892051877179	-32.1477663854856	-42.8079470181385	-44.9791211097892	18.3939633311358	9.59986798628699	corewise_z
LV3003047039	ST13	193.0062	3.919504	9.32739216096218	-25.700658854801	-32.9767485447223	-37.8783622989731	78.1002429459683	74.7426389944218	corewise_z
LV3003047041	ST8	19.097	4.96291	7.4319091568924	235.538866950927	6.63409481455596	341.853240212982	177.684590762975	121.685133491234	corewise_z
LV3003047044	ST8	12.078	3.93092	6.75394096788059	-38.7143807384931	-60.5693656894352	-52.2026372014427	19.9089106619069	55.4649092887428	corewise_z
LV3003047045	ST8	3.5865	3.295865	6.70676913757569	-44.1394192440055	216.244956764882	-28.5713349360786	91.6097253724743	2.18933103288411	corewise_z
LV3003047046	ST13	297.4084	4.246908	7.11474446985184	-31.7439642482629	-75.139323064777	-47.0369934889527	-359.551845493535	-173.674033449843	corewise_z
LV3003047048	ST13	287.7924	3.993012	5.40272407640765	-34.4968734574435	1.69322629420215	-39.6630016914115	63.8643561149621	13.6851420947753	corewise_z
LV3003047052	ST13	259.2385	4.50569	5.47533390988732	-36.6156829645604	-75.139323064777	-47.0369934889527	-268.995743977225	-175.425071022258	corewise_z
LV3003047053	ST13	235.5074	3.68463	9.46019713867995	-36.6156829645604	-75.139323064777	-47.0369934889527	-354.778707652134	-202.913872230704	corewise_z
LV3003047054	ST13	221.4128	4.29192	7.15487199271925	-34.7028872361757	-36.8764487991219	-38.4415839367947	19.4301546823127	-23.1940699505583	corewise_z
LV3003047055	ST13	207.3198	3.757614	8.3425915300014	-33.7375957618614	-56.7689267671578	-40.6446212859539	-29.064486873409	-28.3743015442065	corewise_z
LV3003047056	ST13	187.9216	4.455296	10.3024689799939	-36.6156829645604	-67.5465474832205	-47.0369934889527	-39.9490572877839	-42.3676610143406	corewise_z
LV3003047059	ST8	107.683	4.08781	9.62921190579469	-44.1394192440055	-80.1929588358621	-64.7213235304665	-222.177932810409	-139.310208121001	corewise_z
LV3003047060	ST8	106.686	4.02744	9.16482148751936	-44.1394192440055	-72.0059200478074	-62.5533911993432	-199.683673630289	-141.918873117156	corewise_z
LV3003047061	ST8	105.689	3.95335	8.70043106924403	-44.1394192440055	-83.4772748841925	-64.7213235304665	-277.478416530632	-154.487083172607	corewise_z
LV3003047062	ST8	104.692	3.87156	8.38459253919963	-37.9242507911237	-83.4772748841926	-64.7213235304665	-300.829179528737	-148.277093985968	corewise_z
LV3003047063	ST8	103.695	3.9078	8.08727062917724	-44.1394192440055	-83.4772748841926	-64.7213235304665	-378.212846665186	-161.669874217653	corewise_z
LV3003047064	ST8	96.283	3.77264	6.64358420103273	-44.1394192440055	-83.4772748841926	-64.7213235304665	-410.567641225245	-181.40432678346	corewise_z
LV3003047065	ST8	53.61018	4.4033892	6.44166131978254	-22.6185502889396	-83.4772748841926	-55.4464815256496	-138.126721160884	-92.05920311048	corewise_z
LV3003047067	ST8	42.86602	4.4653592	8.33857306903406	-23.3769938174184	-2.01696186017942	-55.1087304578723	83.5135782023963	68.3821553728337	corewise_z
LV3003047068	ST8	37.78969	4.4205155	9.10244349358346	-38.9851691328408	-74.6974915703966	-48.057831157025	44.8853926138386	47.2071035350235	corewise_z
LV3003047069	ST8	33.7436870748299	4.5874368707483	8.82643927310517	-31.3466924169996	-59.6071823298576	-57.3292246551507	51.6650146919062	48.574161349633	corewise_z
LV3003047070	ST8	30.128	4.62	8.25318031257889	-33.8242077094369	-83.4772748841926	-53.4492339006	30.8985938069405	43.5942819259896	corewise_z
LV3003047071	ST8	26.141	4.68128	7.78787645806057	-39.1329718595737	-77.975569014015	-37.7591507642389	63.2287683875373	71.4596924001204	corewise_z
LV3003047073	ST8	101.685	3.8789	7.56570434574025	-44.1394192440055	-83.4772748841926	-64.7213235304665	-424.411606550018	-181.40432678346	corewise_z
LV3003047074	ST8	100.672	3.88392	7.39278548113664	-39.0877242123739	-83.4772748841926	-64.7213235304665	-414.630621844987	-181.40432678346	corewise_z
LV3003047077	ST8	99.7145	3.801435	7.22934045363618	-40.4582045509894	-83.4772748841926	-61.8007602813096	-296.636819121599	-140.968152719778	corewise_z
LV3003047078	ST8	98.757	3.80916	7.06589542613573	-44.1394192440055	-83.4772748841926	-64.7213235304665	-384.94113515223	-172.407163203779	corewise_z
LV3003047079	ST8	97.52	3.8664	6.85473981358423	-33.0390638072941	69.4842828253067	-62.1457364611014	-115.005152620879	-108.870923657394	corewise_z
LV3003047080	ST8	87.9935	4.110455	8.44662940914954	-44.1394192440055	21.4507121580702	-64.7213235304665	54.2618638076153	-25.8977564595461	corewise_z
LV3003047081	ST8	52.20718	4.3369334	7.53394237030326	-38.7904076324391	-36.9236270718872	-48.8570255969653	49.6272375584412	29.4012349740841	corewise_z
LV3003047082	ST8	41.9168333333333	4.50083166666667	8.48140374041344	-39.5523703160793	-54.5773990047753	-62.6155819237584	7.69511896698593	4.47593162532581	corewise_z
LV3003047083	ST8	37.30319	4.4448405	9.1756505076159	-41.4246003954668	-56.1390110608238	-53.8242643085518	45.3664414542739	50.8124897890297	corewise_z
LV3003047084	ST8	33.276	4.58276	8.75228855131429	-33.731586909627	80.7222579347695	-39.3628206546285	103.15441435381	73.9740482470927	corewise_z
LV3003047085	ST8	29.703	4.65267	8.18579752939511	-15.4061281517972	-77.8928256501543	-27.5736866961904	41.2479828401169	69.7120895544273	corewise_z
LV3003047087	ST8	94.9015	3.776895	6.61928230068734	-44.1394192440055	-69.7393829209521	-64.7213235304665	-250.456113385027	-144.843645235296	corewise_z
LV3003047088	ST8	93.52	3.8688	6.98472526975806	-44.1394192440055	-49.1960699309095	-64.7213235304665	-285.706144717433	-171.728034914028	corewise_z
LV3003047089	ST8	92.1385	3.96892	7.35016823882878	-44.1394192440055	8.71347669378481	-59.0999731189111	-235.104696884795	-170.151277975663	corewise_z
LV3003047090	ST8	90.757	4.03729	7.7156112078995	-44.1394192440055	-65.1715985488826	-64.7213235304665	-229.409264735082	-163.197870000906	corewise_z
LV3003047091	ST8	89.37525	4.072495	8.08112030852452	-44.1394192440055	45.8391997888618	-62.8953239919323	-38.4080831728875	-123.142524155663	corewise_z
LV3003047093	ST8	79.675	3.94875	8.33291896762292	-44.1394192440055	102.778035257726	-64.7213235304665	36.0151914393854	-56.3760661557013	corewise_z
LV3003047094	ST8	50.6848	4.333152	8.71916462667657	-44.1394192440055	-2.94959651537549	-62.7537409931122	41.7844170696569	-0.429588108233318	corewise_z
LV3003047095	ST8	40.9751666666667	4.51099333333333	8.62310282547109	-37.8893911805481	-34.0144295662745	-59.4774343993651	40.2745340863551	22.2592983833236	corewise_z
LV3003047096	ST8	36.89377	4.4589377	9.23725876185055	-28.9483501053659	-78.0492326698551	-44.7425402798846	65.0485659771064	67.9843560703706	corewise_z
