sample	MEblue	MEbrown	MEgreen	MEgrey	MEturquoise	MEyellow
LV7008865054	-4.22199483873379	-2.72567003527709	-5.63292458983592	-12.2035452504688	-10.9948133037677	-5.46591387008152
LV7008867181	-3.83655915847852	-2.64001836403142	-4.85852963183135	-11.5731141958804	-5.07209139679066	-2.92726118570869
LV7008867157	-4.22199483873379	-3.0253069097154	-5.23694484424201	-12.0578308575262	-8.84541107530837	-5.29767459278891
LV7008867133	-4.22199483873379	-2.7648168935495	-5.63292458983592	-11.5547544710992	-14.0342080112918	-7.74412579019873
LV7008867109	-4.0282864485482	-2.46863779500932	1.58808666109666	-2.25563029885774	5.33785016526068	1.69499780658365
LV7008867170	-3.89587303818847	-2.35713453829794	-2.57457278483382	-9.38716313658309	-0.947115572923289	-5.13724140348295
LV7008867146	-2.10328033769206	-2.12788818739537	6.68244229081308	0.104112666109885	5.01616909709253	1.29259568171671
LV7008867122	-4.22199483873379	-0.299210285484116	-1.9948625381077	-11.4904719887518	-7.93530266389087	-8.91020237998964
LV7008867171	-3.39948518055192	-1.05753114772598	-0.250244257546373	-7.99726559727247	-4.6199330026798	-7.79905633562709
LV7008867147	-3.14474714445917	2.66472697466794	6.33395208935388	-3.31735086415368	-3.64405572875749	-8.10845874939553
LV7008867111	-3.87279661845273	-1.33181149340251	2.08714425998705	-11.0860798354079	-8.39805271162821	-9.6515629019708
LV7008865063	-3.93147427014714	-2.21378340169966	-5.43043586717359	-13.7277713407013	-11.8140062086351	-6.00797573422012
LV7008867160	-3.41156591999287	-1.56035504247426	-5.41173464505394	-9.62095758872295	-1.96449188480421	-0.15443778171616
LV7008867136	-4.01374701801745	-1.554878584648	-5.63292458983592	-14.0823024470391	-19.5291185300093	-9.87204795592342
LV7008867173	-4.22199483873379	1.52969402184807	-5.63292458983592	-14.8552374984915	-27.0840404550747	-13.4572192931288
LV7008867149	-0.506117901135491	-1.00014627044594	7.48720474888612	3.77943569433757	6.05184221767534	4.52413324772144
LV7008867125	5.62204485899258	2.87455345830863	0.82514108939132	12.9349012311964	8.26573032282697	6.06708530496884
LV7008867198	-4.22199483873379	-2.68180555141092	-4.43423109239693	-13.0201546773774	-7.73603183586143	-7.61901783530921
LV7008867174	11.0275997080496	2.0544502615287	5.7397494884656	19.940034853145	9.76140607472997	7.03011030636307
LV7008867138	8.40676774830877	3.65436782130819	8.676276400667	20.7418851116654	10.3451810705874	5.99485629016131
LV7008867199	10.5959746045119	1.13572086641313	11.3343003120117	21.4899815888652	9.98933455358587	5.48612350756621
LV7008867175	13.5402740824711	2.91129086853463	13.0985094217067	25.7227901767273	10.6510137991213	5.65129283370753
LV7008867151	-1.43787506044994	0.680222911997269	7.9196363639287	10.2322285986554	5.84016553078088	1.98671528108336
LV7008867127	2.41676327620568	2.44218096517717	9.28714361573308	12.8573524858942	8.03256396423274	3.24291159329225
LV7008865062	0.305905884431311	3.4923415536368	8.66470098116566	8.66685326864194	6.6136885646362	1.32976382507471
LV7008867164	-4.22199483873379	1.51703171205795	-3.06102422428181	-11.2147769713903	-8.62769322917354	-10.3002642806987
LV7008867140	-3.88624651911068	2.81961030103825	-0.534933799016468	-10.4717411302944	-7.09876270268861	-9.93219136372343
LV7008865064	-4.22199483873379	0.0773104408554623	-4.39740729748039	-14.6906150779002	-16.5902875216521	-11.9033604235563
LV7008867357	-4.22199483873379	0.344422330895018	-3.71055063209167	-13.578317637588	-16.7506227282996	-12.1483747075891
LV7008867333	-4.22199483873379	-2.17573258601683	-5.63292458983592	-14.9919306948379	-20.7940291141326	-11.1278286970909
