sample	core	age_kyr	d18O	sst	PC1	PC2	PC3	core_ord	state_inferred	state	harmonization_mode
LV3003061476	ST13	37.16	4.452	9.19719729556924	115.544123610373	93.2485760575258	-54.647238775633	2	4	4	corewise_z
LV3003061571	ST13	40.457	4.53172	8.70107494147892	47.5373066137353	4.06883359003008	-113.350972249787	2	1	1	corewise_z
LV3003061558	ST13	42.626	4.47496	8.37469053564879	119.748975774154	73.0498742049937	-86.6004317631294	2	1	1	corewise_z
LV3003061544	ST13	45.122	4.33366	8.48981108255027	92.8391655535874	72.5936841966695	-76.948410684794	2	1	1	corewise_z
LV3003061530	ST13	47.046	4.38322	8.66837868071839	4.58283898982938	39.2507654643326	-63.2609799093874	2	1	1	corewise_z
LV3003061516	ST13	48.537	4.45537	8.80675928823849	37.119228892173	41.9411990937325	-93.699299032822	2	1	1	corewise_z
LV3003061504	ST13	50.268	4.33732	8.96741444022863	24.6736178472551	36.6796181132969	-94.4868698366161	2	1	1	corewise_z
LV3003061486	ST13	52.105	4.32365	7.61349281773178	-113.741609954234	-10.5908395319513	-30.5057807786538	2	1	1	corewise_z
LV3003061475	ST13	53.844	4.38936	6.25962485846197	18.9182467584687	43.5682387603292	-72.5203292867483	2	1	1	corewise_z
LV3003061570	ST13	55.466	4.32864	6.57988298438419	112.836827330372	121.781066360284	-26.8159781060172	2	4	4	corewise_z
LV3003061557	ST13	58.082	4.48508	7.14615019137165	79.6691943863942	125.375917040516	15.9613700597585	2	4	4	corewise_z
LV3003061543	ST13	62.293	4.57949	7.91259892566273	212.763075620175	126.181348253136	-18.8234712196855	2	4	4	corewise_z
LV3003061529	ST13	66.015	4.56805	8.02667098129265	279.647245023157	90.8704506652763	-2.05058545808196	2	4	4	corewise_z
LV3003061515	ST13	71.0012	4.219988	9.97144024824405	316.035856640082	158.732865693675	43.6259559817154	2	4	4	corewise_z
LV3003061503	ST13	73.1472	4.20056	9.58376845577441	199.025493535415	148.152447855966	-13.3136637070437	2	4	4	corewise_z
LV3003061485	ST13	75.7796	4.035756	7.95056189669746	293.275014509565	153.23117065594	16.5480618933447	2	4	4	corewise_z
LV3003061474	ST13	77.7798	4.056606	8.28521641432076	120.422791443295	128.759152044844	-18.6598536415254	2	4	4	corewise_z
LV3003061569	ST13	81.6946	3.806108	7.84255695133946	157.443324835922	164.146652107353	17.7177162051607	2	4	4	corewise_z
LV3003061556	ST13	86.6174	4.134088	8.5404217959206	64.2843532794176	119.420809808238	20.7603061746523	2	4	4	corewise_z
LV3003061541	ST13	91.09	4.0255	7.62752397756975	90.1604605256393	99.052847950082	-43.8669538941775	2	4	4	corewise_z
LV3003061528	ST13	95.118	3.76764	6.56201237466214	221.059925057727	160.678637712106	15.7004297158033	2	4	4	corewise_z
LV3003061514	ST13	100.6726	3.883986	7.39288790099721	290.453793876224	150.949064597454	35.8638754735439	2	4	4	corewise_z
LV3003061501	ST13	105.5872	3.93808	8.6530138730751	49.3718657149108	115.805102294052	36.7469327464088	2	4	4	corewise_z
LV3003061489	ST13	112.6068	3.96932	11.8540635522199	-182.779808731559	24.7838223270196	116.103616409054	2	2	2	corewise_z
LV3003061473	ST13	117.088	3.5312	13.8380743760062	-281.619780134697	-53.1821820300795	79.5185305434612	2	2	2	corewise_z
LV3003061568	ST13	121.6354	3.209168	15.0912241071525	-413.498364949374	-105.852845158546	132.973468748105	2	2	2	corewise_z
LV3003061555	ST13	126.443	3.25303	13.9174660887275	-354.26561875799	-86.6540937433078	99.1912827359687	2	2	2	corewise_z
LV3003061539	ST13	130.0556	3.677784	12.6881606418456	-26.7871019965314	12.4998567218219	-71.2083315952319	2	1	1	corewise_z
LV3003061527	ST13	133.7754	4.634866	11.4223768846317	-420.619199514784	-107.374065302424	135.67497778194	2	2	2	corewise_z
LV3003061513	ST13	138.493	4.88014	10.3255171456423	-41.5795681602657	9.76759867648959	-49.2124569455183	2	1	1	corewise_z
LV3003061500	ST13	148.086	4.71344	9.56141856461617	44.9011214897392	-51.4629847319497	-51.9817989214585	2	3	3	corewise_z
LV3003061487	ST13	152.7596	4.624808	10.6296971704429	264.030581915008	35.4496873789696	-56.8989465884207	2	4	4	corewise_z
LV3003061472	ST13	158.5276	4.674172	11.4782955307746	107.508343049527	53.9006358044121	-70.8573561074665	2	1	1	corewise_z
LV3003047025	ST13	163.332	4.69336	11.2870420485066	-308.488176755421	-72.9126238417847	73.2265590281819	2	2	2	corewise_z
LV3003046992	ST13	171.8304	4.471872	10.9487378703146	-418.859435139818	-108.766990913549	136.864647684426	2	2	2	corewise_z
LV3003046977	ST13	176.3088	4.411616	10.7704617910979	-208.438040557	-43.6257032254088	15.4071275666921	2	2	2	corewise_z
LV3003046964	ST13	180.3218	4.412526	10.6107123480163	-84.0678507385279	-8.23288385585876	-50.5364531021534	2	1	1	corewise_z
LV3003046947	ST13	184.183	4.43477	10.4570057570304	-140.33062680267	-14.732905516732	-7.57759363320564	2	2	2	corewise_z
LV3003047056	ST13	187.9216	4.455296	10.3024689799939	-98.930864217214	-8.20095827508334	-41.349017872475	2	1	1	corewise_z
LV3003047039	ST13	193.0062	3.919504	9.32739216096218	52.1918146566738	34.0929960412033	-95.3185063597329	2	1	1	corewise_z
LV3003047024	ST13	196.6898	3.764816	7.35099524179306	-410.08975284923	-102.056188640956	132.800651370342	2	2	2	corewise_z
LV3003047005	ST13	200.4688	3.53	7.23574361358611	-44.7721119182034	18.2545560998878	-52.5471062287512	2	1	1	corewise_z
LV3003046991	ST13	202.082	3.62836	7.55276272229853	-130.168202565654	-14.6856447959113	-19.49212847121	2	2	2	corewise_z
LV3003046976	ST13	203.1918	3.642606	7.77660807483952	-106.026373709071	-7.13154273452756	-30.9683328927465	2	1	1	corewise_z
LV3003046963	ST13	204.2366	3.789464	7.98734300395723	-80.0319036184533	-1.28847517531476	-41.8463045916914	2	1	1	corewise_z
LV3003046946	ST13	205.2922	3.80539	8.20025628035142	-156.402067522467	-30.9829121429338	-6.28426850744896	2	2	2	corewise_z
LV3003047055	ST13	207.3198	3.757614	8.3425915300014	-77.7991266348045	-2.92846589578865	-40.6245236576284	2	1	1	corewise_z
LV3003047037	ST13	208.787	3.65491	8.40892051877179	-26.4439376280072	18.2372283740948	-60.4351055501256	2	1	1	corewise_z
LV3003047023	ST13	210.5074	3.585222	8.48669614055518	-141.115670192514	-22.9626691622784	-17.812895715172	2	2	2	corewise_z
LV3003047003	ST13	212.1932	3.617728	8.56290756999161	-35.0091940885258	1.40209335250393	-77.7480925257793	2	1	1	corewise_z
LV3003046990	ST13	214.2076	3.555848	8.65397430593701	-82.7083828474533	-10.650486910439	-52.8994846953089	2	1	1	corewise_z
LV3003046975	ST13	216.0168	3.52916	8.67763653427235	64.6768285922295	38.4884606069973	-93.3629870280775	2	1	1	corewise_z
LV3003046961	ST13	217.8288	3.67891200000001	7.67145744723192	-129.908294085349	-21.3810208602072	-22.9645117592005	2	2	2	corewise_z
LV3003046945	ST13	219.6394	3.965576	7.4063509745483	14.2031714100818	24.9541248914115	-78.2333709329713	2	1	1	corewise_z
