sample	OAP	MGI	MFI	DCI	MII	SRPI	tea_mode	n_taxa_input	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	nondmg_total_reads	nondmg_n_taxa	core	age_kyr	state	state_label
LV3003047101	-162.181878327199	-13.8155105579643	0	-10.4834975413143	-1.03917265180578	-0.919507604492969	ko	86	78	39	63	0.961439503068353	0.47517423416072	0.75723789936468	120097	86	ST8	85.23	1	IG-D
LV3003047104	-141.796237689555	-13.8155105579643	0	-9.6296508869064	-0.889124108692004	-0.778194109930255	ko	59	57	28	44	0.991896556373541	0.564679233071758	0.825324272577731	74166	59	ST8	83.84125	2	IG-E
LV3003047105	-169.677762504754	-13.8155105579643	0	-2.31047925983108	-1.12547593093766	-0.821418404425527	ko	80	65	32	51	0.952114315809899	0.495474768194481	0.802095605050519	72151	80	ST8	82.4525	2	IG-E
LV3003047106	-164.740961114764	-13.8155105579643	0	-2.21167307023915	-0.9113579507685	-0.857985689875982	ko	105	97	50	74	0.989356229752211	0.490231809824008	0.796558970317836	182736	105	ST8	81.06375	2	IG-E
LV3003047107	-161.859461633476	-13.8155105579643	0	-2.19771537489208	-1.11304111752863	-0.916014891679534	ko	122	118	65	86	0.992433928545484	0.459627035901608	0.799853255263196	275308	122	ST8	71.517	1	IG-D
LV3003047110	-25.5413286790719	-13.8155105579643	0	-3.11859274704424	-1.64415309608305	-0.615156579929269	ko	174	153	95	109	0.975901704701017	0.614753901502961	0.832964277651557	416378	174	ST8	49.1548	4	IG-B
LV3003047112	-51.9036915551811	-13.8155105579643	0	-2.29282234923544	-1.62522304381549	-0.452321171434533	ko	133	122	71	94	0.985991668572224	0.660959936901199	0.870087390513307	301749	133	ST8	40.0335	4	IG-B
LV3003047113	1.2231291412746	-13.8155105579643	6.495604101686	-1.57823073557758	-1.53982972545056	-0.380037827553252	ko	211	190	122	152	0.983540560683118	0.704484109898612	0.881855276702605	457549	211	ST8	36.48927	5	G-A
LV3003047114	-81.7468195391171	-13.8155105579643	6.68804715787145	-4.47579929064856	-1.36408026367892	-0.484869121340902	ko	170	146	88	120	0.962416252870604	0.626442076454609	0.858796751051708	295234	170	ST8	32.3855	5	G-A
LV3003047117	-116.941146989234	-13.8155105579643	6.17029620070445	-2.81268317944166	-1.11429022502959	-0.575614804459684	ko	185	156	99	126	0.949517819037977	0.606184778016056	0.846443500190002	376311	185	ST8	28.7616666666667	5	G-A
LV3003047118	-87.9742454320738	-13.8155105579643	7.49225154010922	-2.13245321128419	-0.981450891294173	-0.280861979233092	ko	313	248	166	197	0.972284955676794	0.580981502242976	0.8420027947203	680569	313	ST8	24.528	3	IG-A
LV3003047122	-191.036006497552	-13.8155105579643	0	-9.09668998809796	-0.914668671502287	-0.933590013281533	ko	50	47	22	38	0.984212501340195	0.431301597512598	0.860512490618634	37308	50	ST8	76.951	2	IG-E
LV3003047123	-171.321028689324	-13.8155105579643	0	-9.91532546084471	-1.00951046425844	-0.926051308375222	ko	43	42	19	36	0.995072446764827	0.484542734792046	0.863319059071977	34094	43	ST8	75.589	2	IG-E
LV3003047124	-161.049293787822	-13.8155105579643	0	-2.56423019166283	-1.11327513868251	-0.855257412541237	ko	60	59	31	49	0.983815466061637	0.472981660049159	0.8819814709775	52890	60	ST8	74.227	2	IG-E
LV3003047125	-146.386262451319	-13.8155105579643	0	-1.12415838109581	-1.14073802112287	-0.898849506527573	ko	95	85	43	58	0.974971017853002	0.494389056341294	0.769719452817065	86260	95	ST8	72.872	2	IG-E
LV3003047126	-98.4979967439493	-13.8155105579643	0	-0.862529554982703	-1.26939806319603	-0.793722276292319	ko	83	79	44	64	0.957875532682542	0.556263529796185	0.829786654685564	146898	83	ST8	64.210824	4	IG-B
LV3003047127	-86.394923139978	-13.8155105579643	6.53426637415784	-2.89174893146552	-1.53148431927915	-0.658777230085605	ko	132	127	76	102	0.971201095207321	0.564479183795215	0.840919607040837	261503	132	ST8	47.6248	2	IG-E
LV3003047128	13.632887506339	-13.8155105579643	0	-1.98715125044292	-1.43371604910877	-0.515993799497789	ko	207	181	118	146	0.962584316642061	0.633735537128924	0.861126836650497	270261	207	ST8	39.57797	5	G-A
LV3003047129	-44.1444758759016	-13.8155105579643	6.57932813804576	-4.62735224151407	-1.56213587052545	-0.461168736283652	ko	167	150	91	122	0.979093776444342	0.644264943457189	0.873562581737057	324975	167	ST8	36.0373	5	G-A
LV3003047130	-105.312721823906	-13.8155105579643	6.38972725253406	-2.21856404034921	-1.28969940270635	-0.54840491290103	ko	175	158	102	131	0.986934678090207	0.585634255582135	0.837628127100204	425554	175	ST8	31.936	5	G-A
LV3003047131	-131.566287450962	-13.8155105579643	5.99675599966017	-3.84702215521073	-0.585818160329447	-0.738301033123376	ko	220	181	108	144	0.892843492956522	0.550458183820559	0.780051841158112	552071	220	ST8	28.2453333333333	5	G-A
LV3003047132	-88.2289103822481	-13.8155105579643	7.41264171760253	-3.37283322143247	-0.478045483426492	-0.211040867852553	ko	255	211	125	160	0.983157690450833	0.620586216356412	0.86376405672165	834743	255	ST8	23.987	3	IG-A
LV3003047133	-144.568283220825	-13.8155105579643	0	-1.95589870693882	-1.1017885011776	-0.878880256037369	ko	112	100	49	73	0.98204306135655	0.4821705198345	0.797174343588839	203988	112	ST8	70.162	1	IG-D
LV3003047134	-135.907828718999	-13.8155105579643	0	-2.70445279360956	-1.08249152996682	-0.902607495619233	ko	123	105	58	75	0.990150050630581	0.462369971462764	0.78025637485041	434520	123	ST8	68.807	1	IG-D
LV3003047136	-147.986103143434	-13.8155105579643	0	-1.91294502603028	-1.2196639031457	-0.894574086883753	ko	108	95	54	71	0.983847540089814	0.465499660802504	0.76572065941658	240273	108	ST8	67.8766	1	IG-D
LV3003047137	-134.419340338207	-13.8155105579643	0	-1.58045037556085	-0.724263132568024	-0.738913330418926	ko	85	82	39	64	0.995180892077514	0.591594965149233	0.898990221359818	156668	85	ST8	66.9462	1	IG-D
LV3003047138	-148.196557311356	-13.8155105579643	0	-2.27171706404506	-0.604934396062897	-0.882604394373857	ko	109	98	53	76	0.973773485300863	0.527247708803905	0.825436387396042	231102	109	ST8	66.0158	1	IG-D
LV3003047139	-120.277099993892	-13.8155105579643	0	-9.37696464017914	-0.628914634746741	-0.830633051951746	ko	85	80	44	68	0.951920563016557	0.620678799908227	0.85223483211414	187419	85	ST8	58.6141266666667	4	IG-B
LV3003047140	-93.0932700789999	-13.8155105579643	0	-10.6624311290038	-1.62142062661675	-0.435885273348047	ko	58	56	34	49	0.982656542313195	0.636601738747662	0.893672279080004	45435	58	ST8	46.0948	2	IG-E
