sample	MEbrown	MEgreenyellow	MEblue	MEgreen	MEred	MEtan	MEmagenta	MEpurple	MEpink	MEyellow	MEblack	MEturquoise	MEgrey
LV3003046994	-0.00362013021954295	-0.0825726931705199	-0.0100497725298353	-0.0445953085069824	-0.000133890194010214	-0.0369949138067773	-0.0457095814376445	-0.018155219138107	0.00801915143387793	0.157327104465523	-0.00854625348855335	0.00658329545488999	0.011453760931375
LV3003046979	0.000589102982615744	0.0344105367849104	-0.0485580267865217	-0.0117138724063151	0.0282587703389184	-0.0139003678355364	0.0384634133001568	-0.0205960176570239	-0.0628020896155489	0.010465001357788	-0.0622698608842522	-0.0499123383441522	-0.051248788755517
LV3003046966	0.0246249583914062	-0.021297913590552	0.0161895832640385	0.0235330879129054	0.0855951464730828	0.14316305955337	-0.0770307675143319	-0.0573402592870469	-0.0649671867881427	-0.0137809045736192	-0.0133730681585686	-0.0266900994151831	-0.0630476213737427
LV3003046950	0.056736611361391	0.0443224411963988	0.0607775098591639	0.0929298008800216	0.104937263293372	0.141556646781208	-0.0612716507003658	-0.0593838725183136	-0.0489703534854871	-0.00913976485755973	-0.0238247194178064	-0.0120149864395776	-0.0506518890060098
LV3003046937	0.0508905911373448	0.0318350285665849	-0.00590213627268015	0.0488087701325158	0.0852923845404071	0.032781329212155	-0.0635213809768489	-0.0433795708793072	-0.0309734084870891	-0.0117710019026712	-0.0333205117680508	-0.0264568089116548	-0.049489266047448
LV3003047041	0.0107192539284913	0.0225603558909101	0.0746078422709719	0.0594068794645161	0.0495082637798818	0.0176801290436896	-0.103778033784313	-0.105202715110466	-0.111960885571705	0.0332035379128678	-0.11281434389126	-0.0896820547887863	-0.10530970872378
LV3003047026	0.00936552432025294	-0.0067432736278328	0.00278130311311185	0.0122667398267093	0.0290087861011981	-0.0948414539772767	-0.0832447881331687	-0.0595198527898821	-0.0691651988435725	0.181979000912183	-0.0785512022109637	-0.0410235340565244	-0.0479039039209558
LV3003047009	0.0452145634589038	-0.0687340735603465	0.0217598415136852	-0.0186617246826126	0.0344908264476408	-0.0397540180060116	-0.0446709557084959	-0.00347831241709961	0.00888637685920214	0.219139207297807	-0.00128925683399072	0.0168038734379471	0.0342594828451409
LV3003046993	0.0119756752896631	0.0597300488157562	0.00311018560452162	0.0580380041903061	0.0258439645017965	-0.0854356322790254	0.0763453200599992	0.0384067733397778	-0.0702286739911811	0.173510003107639	-0.0780227254358656	-0.00157218886372693	-0.0611769343006107
LV3003046978	0.0500957341405488	0.0543344861839169	0.115955269155241	0.0998242926907538	0.0915832679810502	0.0880617788903071	-0.0748062147221907	-0.0596014296298205	-0.0442831507989737	0.03326289967602	-0.0599641836827797	-0.0304779670685113	-0.0308326116993593
LV3003046965	0.0371170075647818	0.0502661565072804	0.124487468975918	0.0914721385889972	0.079910974287999	0.104836294314504	-0.0835361426140347	-0.092642782269234	-0.105129952409446	0.0122177438959821	-0.0666526584235229	-0.0291757978924763	-0.0913490892385441
LV3003046949	0.0593107732046908	0.0514280602150034	0.126543229621323	0.0961684037928739	0.099577796616742	0.118238453226711	-0.0651082313598144	-0.0474224579900578	-0.0563519406964249	-0.0147999926528089	-0.0531742005141819	-0.0226121392721364	-0.043736077273985
LV3003046936	0.0230841558582166	0.0340133777561214	0.105142119787941	0.0770879408782785	0.0696936136933521	0.0869406872927915	-0.0941577433175134	-0.105116901088553	-0.111418099146067	-0.0143502099144919	-0.106946077319773	-0.0464011067421843	-0.110310458017555
LV3003047145	0.0262898224380916	-0.0138558621525247	-0.00789716381926629	0.015243321927563	0.0592071829848743	-0.037477253262998	-0.0829596876589282	-0.0626459274583821	-0.0317747410019196	0.0948697167940163	-0.0595024595024816	-0.0408136385985085	-0.0406802462727395
LV3003047132	0.041935665900048	0.0390486406877099	0.126110402283204	0.0951935019577395	0.0839861308354885	0.0992186380697187	-0.0765796214268631	-0.102917980426586	-0.102629791827265	-0.0344118754621101	-0.0520526582994553	-0.0269613275531174	-0.070085626478379
LV3003047118	0.0611557383765688	0.0608796004392201	0.103716101713596	0.102307517083692	0.0825385508482728	-0.0153708105217261	-0.0676113030330012	-0.0605652947301347	-0.0608872264002787	-0.0212338015492708	-0.0658228241431999	-0.0341731557861372	-0.0594960265369021
LV3003047099	-0.0114816608499567	-0.0410971086062604	-0.0331711710512801	-0.017586780417567	0.026679362816814	0.0622093187881482	-0.105114437122841	-0.0868572194492423	-0.0837237530214195	-0.0679707849961069	-0.0877253157351942	-0.0763638150986796	-0.10279758401156
LV3003047071	-0.0024555383986503	-0.0677272258281298	-0.0367546969192792	-0.0581236553029306	0.0730103000489094	0.132047764788285	-0.088589241630563	-0.0639822540844833	-0.0585275879380127	-0.0506588979576666	-0.0134313206607224	-0.0467612598428646	-0.0662607622129258
LV3003047169	-0.02643321110091	-0.0684389479012347	-0.0377373587455719	-0.0519096289321826	0.0492981869374146	0.109995505049903	-0.109264146099705	-0.0954670991825787	-0.0813805474948818	-0.0707768173778271	0.0176139690419897	-0.0707955406475751	-0.106975683022084
