sample	MEpurple	MEmagenta	MEpink	MEyellow	MEblack	MEgreen	MEturquoise	MEred	MEblue	MEbrown	MEgrey
LV3003047070	-0.030144775975999	-0.0405684049332476	-0.0641056142375567	-0.0193053210056144	0.183001892841489	0.0502494082748101	0.0394315362600277	-0.0564055429372879	-0.0242921481901792	-0.00833670388031738	-0.0236366650045984
LV3003047168	-0.0219037110614449	-0.0405684049332476	-0.0564753552412554	0.00454968985736412	0.165384054532483	0.0536192446259858	8.17040890565723e-05	-0.022612047504913	-0.00605461545266256	0.0679560720488397	-0.0103730273825013
LV3003047155	-0.030144775975999	-0.0405684049332476	-0.0681112431384553	-0.0227940736984942	0.279142253067606	-0.0158701117482088	-0.0152498966022453	-0.0637583938647874	-0.0313703642655689	-0.0163583099257898	-0.00756857809298376
LV3003047143	-0.0218430356605772	-0.0340624623739752	-0.00258012017197336	-0.022939073232056	0.198183766131946	0.0651935998000634	0.0483182091687306	-0.042777116802671	-0.0323674792252259	0.00169428459466508	-0.0198476428142862
LV3003047130	-0.030144775975999	-0.0341637747223781	-0.0381877617785962	-0.0301850179255851	0.130093602458377	0.054817402719111	0.0383555610765719	-0.0577693344800372	-0.0299478442123381	0.0129025851062321	-0.0287435288243947
LV3003047114	-0.0255601674696439	-0.0166204092078629	-0.0212928807395067	-0.0328848056638361	0.0405343925763595	0.0348482259343999	0.0442320363724724	-0.0537082784611016	-0.0363490940262033	-0.025226565540795	-0.0267823949641126
LV3003047097	-0.030144775975999	-0.0215020359305308	-0.0233136862502802	-0.0254614124633389	0.145790990372327	0.0645308035758946	0.0543122616716958	-0.0461055555473472	-0.0338845269734885	0.00567556439032066	-0.0223075698964592
LV3003047084	-0.00940375823604942	0.0605275677140237	0.0673013897836593	-0.0231242517710033	0.0205978340315095	0.0561567448206974	0.0471488254695354	0.03126586924868	-0.0143758235859043	0.0143156950840398	-0.0139162259016361
LV3003047069	-0.0263226918326062	-0.0405684049332476	-0.0482395598551427	-0.0189921871328812	0.00899830024099139	0.05781797496486	0.0619453877345379	-0.0367820465021445	-0.0323006563599896	-0.0209160211999732	-0.0293606190866309
LV3003047167	-0.0271754330309985	-0.0405684049332476	-0.0681112431384553	-0.0273167493099029	0.0085401990000355	0.0197852983917919	0.00656922804976275	-0.0606744524829866	-0.0267805504038847	-0.0184129350379639	-0.0301353172448369
LV3003047154	-0.0260892875053745	-0.0405684049332476	-0.0323411014998994	-0.0200612720660017	-0.0323472670538265	0.0340305714824942	0.0640316987872197	-0.0517638656618984	-0.0341020734441673	-0.0479313504655384	-0.0257904215398118
LV3003047142	-0.030144775975999	-0.0405684049332476	-0.0681112431384553	-0.0196370064216746	0.0358118213139741	0.0493506523151524	0.00779291520101771	-0.0491753923459886	-0.0253114664859198	0.0192564634632762	-0.0344221175554416
LV3003047129	-0.0277119637623511	-0.0405684049332476	-0.0681112431384553	-0.0100820453141958	0.122090948505905	0.0637266293572563	0.0281939455973601	-0.0408582306163887	-0.0131410743476182	0.0592629115728213	-0.0223260320541311
LV3003047113	-0.030144775975999	-0.0405684049332476	-0.0573155512730006	-0.00961075673222786	0.144556504002668	0.0749701168294697	0.043658501879567	0.0231605876893898	-0.0100048805379122	0.0730230171934256	-0.0212580600416914
LV3003047096	-0.030144775975999	-0.0405684049332476	-0.0617652905101767	-0.0196693519457018	0.164366196986012	0.0741435164412542	0.0375633160942022	-0.0226772664468924	-0.0233116259318107	0.0542827986632342	-0.0210192119260653
