taxon	brown	green	blue	turquoise	yellow	grey	assigned_module	assigned_kME	max_bio_kME	max_bio_module	next_best_bio_kME	setting_id	module_type	assigned_is_max_kME	kME_margin	weak_assigned_kME	negative_assigned_kME	strong_hub	grey_rescuable	magenta	pink	red	black
S__GCF_003855155.1	0.156240169749759	-0.0129248432726735	0.278681207323682	0.337549827631452	0.147030888594484	0.107124132869598	turquoise	0.337549827631452	0.337549827631452	turquoise	0.278681207323682	exp3	biological	TRUE	0.0588686203077697	FALSE	FALSE	FALSE	FALSE		-0.0506084788799438	0.263443519706945	0.23157265177364
S__GCF_004137345.1	0.163033381575583	-0.071284822579109	0.414618594736147	0.380582832778154	0.0151242093473924	-0.126128382152025	black	0.709254920995066	0.709254920995066	black	0.414618594736147	exp3	biological	TRUE	0.294636326258919	FALSE	FALSE	TRUE	FALSE		0.0491803871919738	0.223917027934541	0.709254920995066
S__GCF_004402355.1	0.322875818294375	0.0819381633321401	0.439488667175791	0.277289971209153	-0.130110838468195	-0.117966945392894	grey	-0.117966945392894	0.487846431107351	black	0.487846431107351	exp3	technical	FALSE	-0.605813376500245	TRUE	TRUE	FALSE	FALSE		-0.0963177811457388	0.213131324339914	0.487846431107351
S__GCF_004570385.1	0.00901281146084471	-0.0850627095810993	0.336371762488608	0.29378996502745	-0.178033052385097	-0.173478762968908	black	0.765194801242918	0.765194801242918	black	0.336371762488608	exp3	biological	TRUE	0.42882303875431	FALSE	FALSE	TRUE	FALSE		-0.127842229431746	0.0286109616761742	0.765194801242918
S__GCF_005222675.1	-0.0577367553539183	-0.0734130145944751	0.0937309699127684	0.129093184175675	-0.0444117920965458	-0.0664403008714722	grey	-0.0664403008714722	0.280195550800656	black	0.280195550800656	exp3	technical	FALSE	-0.346635851672128	TRUE	TRUE	FALSE	FALSE		-0.0799248846903919	-0.0125447212586901	0.280195550800656
S__GCF_007197555.1	0.654057245192097	0.367457082861647	0.544728189418087	0.318310618620063	0.0834583331214162	-0.0794311032911558	grey	-0.0794311032911558	0.654057245192097	brown	0.654057245192097	exp3	technical	FALSE	-0.733488348483253	TRUE	TRUE	FALSE	TRUE		0.0422836904822994	0.487908701901895	0.0808206149558257
S__GCF_007954275.1	0.498851872191916	0.185820699145576	0.454000967166703	0.263511249926018	0.0269093662578887	-0.0716760850333897	blue	0.454000967166703	0.498851872191916	brown	0.498851872191916	exp3	biological	FALSE	-0.0448509050252133	FALSE	FALSE	FALSE	FALSE		-0.053275836171022	0.359154436300507	0.117879328516557
S__GCF_007997085.1	0.645291825282683	0.194429459392013	0.702432422356934	0.374856851120565	-0.0319788321982088	-0.111762002744879	brown	0.645291825282683	0.702432422356934	blue	0.702432422356934	exp3	biological	FALSE	-0.0571405970742511	FALSE	FALSE	FALSE	FALSE		-0.0802869251826805	0.500465783506676	0.331769209748571
S__GCF_007997295.1	-0.0607770220532604	-0.168353142880609	0.246201239984774	0.336414205197907	-0.0148467811041136	-0.0129314423548413	black	0.534691694980438	0.534691694980438	black	0.336414205197907	exp3	biological	TRUE	0.19827748978253	FALSE	FALSE	FALSE	FALSE		-0.0682359762759296	0.0803696821995146	0.534691694980438
S__GCF_007997375.1	0.377178248478953	0.134220863432428	0.47129185376484	0.440793951837061	0.0422238583762064	-0.0484709358305313	turquoise	0.440793951837061	0.47129185376484	blue	0.47129185376484	exp3	biological	FALSE	-0.0304979019277794	FALSE	FALSE	FALSE	FALSE		-0.0518839389094586	0.355682369781305	0.228844489471591
S__GCF_008728835.1	-0.0474270152799801	-0.0589492975684045	-0.0987572163233472	0.0622896681930293	0.132901516089968	0.674901220286514	grey	0.674901220286514	0.132901516089968	yellow	0.132901516089968	exp3	technical	FALSE	0.541999704196545	FALSE	FALSE	FALSE	FALSE		-0.0529959484955899	0.042910449273041	-0.0915279865124337
S__GCF_009910845.1	-0.0227233182288387	-0.0717009094633171	-0.0424163576576953	0.132471461312027	0.303574475428367	0.474564421600301	grey	0.474564421600301	0.303574475428367	yellow	0.303574475428367	exp3	technical	FALSE	0.170989946171934	FALSE	FALSE	FALSE	FALSE		0.0561242044447837	0.175604093119102	-0.10177090306322
S__GCF_009930795.1	-0.0425788395826632	-0.0928784870534954	0.290960751844609	0.282437043141549	0.0377866274866838	-0.0373404192525207	black	0.626168949246718	0.626168949246718	black	0.290960751844609	exp3	biological	TRUE	0.335208197402109	FALSE	FALSE	FALSE	FALSE		-0.020035306600841	0.146566078922175	0.626168949246718
S__GCF_010078385.1	-0.10303233662759	-0.11269188778568	-0.162385220355032	0.0732320843202357	0.239641429234103	0.447944823535788	grey	0.447944823535788	0.239641429234103	yellow	0.239641429234103	exp3	technical	FALSE	0.208303394301685	FALSE	FALSE	FALSE	FALSE		-0.0796605139547707	0.023446754996689	-0.166712770886888
S__GCF_010723735.1	-0.0720907465315118	-0.0753352162225444	0.0135391333053917	0.0270048676320542	-0.118933369219315	-0.0741142661546983	grey	-0.0741142661546983	0.0932698143319692	black	0.0932698143319692	exp3	technical	FALSE	-0.167384080486667	TRUE	TRUE	FALSE	FALSE		-0.0896629205567153	-0.0734899664487024	0.0932698143319692
S__GCF_011299595.1	0.304153517234962	0.0761324338834752	0.363490087719848	0.217694808123953	0.107928805541274	-0.101751855021526	grey	-0.101751855021526	0.363490087719848	blue	0.363490087719848	exp3	technical	FALSE	-0.465241942741374	TRUE	TRUE	FALSE	FALSE		0.156802406042087	0.304374496804483	0.223896253918098
S__GCF_012276695.1	0.365784862600245	0.212010389891182	0.522993659911946	0.841360348490428	0.423306192669716	0.0844247447028654	turquoise	0.841360348490428	0.841360348490428	turquoise	0.541166616413818	exp3	biological	TRUE	0.30019373207661	FALSE	FALSE	TRUE	FALSE		0.240505467571393	0.541166616413818	0.28080477114355
