from	to	w
S__3300027788_10	S__3300027844_72	0.148816030116162
S__3300027791_27	S__3300027844_72	0.116251849734139
S__3300027801_21	S__3300027844_72	0.166269672664536
S__3300027801_7	S__3300027844_72	0.137930474869257
S__3300027810_12	S__3300027844_72	0.125252045642768
S__3300027827_16	S__3300027844_72	0.143195258008806
S__3300027838_66	S__3300027844_72	0.193355235177326
S__3300027838_7	S__3300027844_72	0.21800001552289
S__3300027844_42	S__3300027844_72	0.143306014493494
S__3300001683_28	S__3300027844_79	0.138161064402396
S__3300001683_4	S__3300027844_79	0.146450076723882
S__3300020187_18	S__3300027844_79	0.120186221304932
S__3300020263_16	S__3300027844_79	0.115465823619099
S__3300020389_17	S__3300027844_79	0.141392472806669
S__3300020389_47	S__3300027844_79	0.162971494267608
S__3300024516_26	S__3300027844_79	0.12039169318706
S__3300025276_12	S__3300027844_79	0.109968263583567
S__3300025894_53	S__3300027844_79	0.132477898734919
S__3300026253_8	S__3300027844_79	0.120316585950247
S__3300027668_18	S__3300027844_79	0.12213358506948
S__3300027685_31	S__3300027844_79	0.134026133052481
S__3300027685_36	S__3300027844_79	0.108819624017232
S__3300027752_17	S__3300027844_79	0.123619485456172
S__3300027771_26	S__3300027844_79	0.124363428731903
S__3300027779_22	S__3300027844_79	0.145671277450126
S__3300027780_12	S__3300027844_79	0.127645170744409
S__3300027788_10	S__3300027844_79	0.110039781242265
