state	sample	core	age_kyr	state_label	index	value	state_label_source
1	LV7008886756	GeoB25202_R2	105.5785	state_03	DCI	-1.73025909911512	IG-D
1	LV7008886766	GeoB25202_R2	71.8895	state_03	DCI	-1.9071856009253	IG-D
1	LV7008886768	GeoB25202_R1	102.2955	state_03	DCI	-1.50894504204895	IG-D
1	LV7008886778	GeoB25202_R1	68.149	state_03	DCI	-1.3662512881328	IG-D
1	LV7008886780	GeoB25202_R2	102.2955	state_03	DCI	-1.81666217902753	IG-D
1	LV3003046938	ST8	11.169	state_03	MII	-3.57504924087735	IG-D
1	LV3003046939	ST8	2.42	state_03	MII	-2.56119112113095	IG-D
1	LV3003046952	ST8	10.26	state_03	MII	-3.67990832395729	IG-D
1	LV3003046953	ST8	1.5215	state_03	MII	-2.70781539891923	IG-D
1	LV3003046980	ST8	8.056	state_03	MII	-3.42109741188596	IG-D
1	LV3003046995	ST8	6.9705	state_03	MII	-3.67904572797875	IG-D
1	LV3003047010	ST8	13.676	state_03	MII	-3.49361605035596	IG-D
1	LV3003047013	ST8	5.885	state_03	MII	-3.3001645724863	IG-D
1	LV3003047027	ST8	12.877	state_03	MII	-2.8566142430727	IG-D
1	LV3003047045	ST8	3.5865	state_03	MII	-3.0889314517774	IG-D
1	LV3003047079	ST8	97.52	state_03	MII	-2.71985917330694	IG-D
1	LV3003047080	ST8	87.9935	state_03	MII	-2.55944548711129	IG-D
1	LV3003047091	ST8	89.37525	state_03	MII	-3.01134101026293	IG-D
1	LV3003047093	ST8	79.675	state_03	MII	-2.74238351614389	IG-D
1	LV3003047100	ST8	86.61175	state_03	MII	-2.74545526690288	IG-D
1	LV3003047101	ST8	85.23	state_03	MII	-2.70277911521118	IG-D
1	LV3003047107	ST8	71.517	state_03	MII	-2.72211218362559	IG-D
1	LV3003047133	ST8	70.162	state_03	MII	-2.70780575343278	IG-D
1	LV3003047134	ST8	68.807	state_03	MII	-2.84321818038822	IG-D
1	LV3003047136	ST8	67.8766	state_03	MII	-3.12451651800739	IG-D
1	LV3003047137	ST8	66.9462	state_03	MII	-2.62380790666791	IG-D
1	LV3003047138	ST8	66.0158	state_03	MII	-3.02722194177871	IG-D
1	LV3003061474	ST13	77.7798	state_03	MII	-2.91332400788272	IG-D
1	LV3003061485	ST13	75.7796	state_03	MII	-2.70284014250419	IG-D
1	LV3003061500	ST13	148.086	state_03	MII	-2.38071225154358	IG-D
1	LV3003061501	ST13	105.5872	state_03	MII	-2.60659053681384	IG-D
1	LV3003061503	ST13	73.1472	state_03	MII	-2.73139896908409	IG-D
