state	state_label	module	index	n_rows	n_samples	mean	median	sd	iqr	cv	centered_mean	centered_median	specialization_abs_centered_mean	mean_module_abundance	state_label_source
2	state_05	leiden1	DCI	34	34	-1.81808613528669	0	4.68793557788491	0	2.57850026294034	0.94397646898734	1.90159410029627	3.50881245255942	0.0387062244345803	IG-E
2	state_05	leiden2	DCI	38	38	-3.08500304872228	0	5.63223032521151	10.3619350582424	1.82568063507886	-0.126374962074415	1.71229812992517	3.94403231899164	0.0925204740169838	IG-E
2	state_05	leiden3	DCI	39	39	-0.020332406259508	0	4.30961155661236	0	211.95777330079	2.86243342175636	2.41319918354146	3.87598827670178	0.112779957189028	IG-E
2	state_05	leiden4	DCI	39	39	-5.21102477862498	-2.48549441590854	4.89328373802787	9.08819432539679	0.939025229375142	-2.32825895060912	-0.642576075184787	3.8603127413891	0.627529278841774	IG-E
2	state_05	leiden5	DCI	36	36	-4.66631926752156	0	6.96132498760979	11.9486859697342	1.49182355267928	-1.75994746197537	0	4.34769615812176	0.10197139417222	IG-E
2	state_05	leiden6	DCI	7	7	-6.34265167717664	0	7.91783045633676	14.5410043445956	1.24834704147923	-1.47268336879229	1.88999777402802	5.96895722040335	0.0034840971926742	IG-E
2	state_05	grey	MII	29	29	-2.26314289887327	-1.62029854460143	3.63641731209963	0.18843489577617	1.60679969166333	1.51448722739663	2.07947712096462	2.71742300277584	0.0551058486737416	IG-E
2	state_05	leiden1	MII	34	34	-5.15630050464929	-1.83537850263966	6.11444960382375	11.547259151624	1.18582103550996	-0.998522365781104	0.683976226832888	3.97419135871105	0.0387062244345803	IG-E
2	state_05	leiden2	MII	38	38	-3.6568622554155	-2.37143120132016	3.97559161901552	0.84208040232604	1.08715924783002	0.701287126430116	1.29021574024085	2.55881873883924	0.0925204740169838	IG-E
2	state_05	leiden3	MII	39	39	-2.67385329556276	-1.75722403659512	4.22620834177579	1.52973244357132	1.58056851839596	1.66307042639852	2.00429234286187	3.29671528052353	0.112779957189028	IG-E
2	state_05	leiden4	MII	39	39	-4.36527198412288	-3.32001876338589	3.4211632254147	1.18788539987299	0.783722809909201	-0.0283482621615955	0.211248196443983	2.38281250337867	0.627529278841774	IG-E
2	state_05	leiden5	MII	36	36	-6.63061944789438	-2.84358102464117	6.05943361601347	11.7045103449682	0.913856339310455	-2.41020044859701	0.00284542839418744	4.35734875342981	0.10197139417222	IG-E
2	state_05	leiden6	MII	7	7	-4.77073029938806	-0.855790480432857	6.94637834839237	7.71096137474093	1.45604088105408	-1.94374688829103	0.982373710606727	4.38987985315921	0.0034840971926742	IG-E
2	state_05	grey	SRPI	29	29	-0.201281884049512	0.302024822256118	2.02140941496078	0.572382274450477	10.0426793226138	0.924122964708126	1.15333108846998	1.644303806786	0.0551058486737416	IG-E
2	state_05	leiden1	SRPI	34	34	-2.21170556667023	-0.370694516951282	3.68224493845841	2.2565002988321	1.66488930260374	-0.984877175020164	0.259897452273379	2.0203410020489	0.0387062244345803	IG-E
2	state_05	leiden2	SRPI	38	38	-1.66228057695195	-1.07751060757279	2.30039559505711	0.687558551477581	1.38387924815632	-0.404032858955328	-0.107185459256129	1.07388006585704	0.0925204740169838	IG-E
2	state_05	leiden3	SRPI	39	39	-0.045746558603402	-0.0395953829879063	0.338025202803795	0.355668391873632	7.38908484317457	1.2028893205717	0.856130938172398	1.20673603445088	0.112779957189028	IG-E
2	state_05	leiden4	SRPI	39	39	-0.652332909095876	-0.626272934420846	0.184676904728591	0.242104475347242	0.28310223530582	0.596302970079225	0.183295770892263	0.796651995417505	0.627529278841774	IG-E
2	state_05	leiden5	SRPI	36	36	-1.25034947562965	-1.38293443161293	1.23297965256414	1.49370194278714	0.986108025472826	-0.124838505370111	-0.276483463103216	1.23138518094125	0.10197139417222	IG-E
2	state_05	leiden6	SRPI	7	7	-8.19455639582815	-9.21034037197618	2.68751178665206	0	0.327963059479372	-6.23354378965852	-7.35706728186667	6.34178064214712	0.0034840971926742	IG-E
3	state_01	grey	OAP	31	31	429.817781431357	535.495656862745	246.483278311774	391.237159583825	0.573459938048509	-9.10899167276303	46.3062995353044	136.870134086897	0.00922494346242893	IG-A
3	state_01	leiden1	OAP	32	32	482.420067053479	544.416486957951	136.403876868991	131.332833058441	0.282749176878394	41.8884280459734	60.9800793959379	88.1975761142633	0.0473297561216894	IG-A
3	state_01	leiden2	OAP	32	32	562.774128673555	564.577849313311	25.7452572542805	27.24023161882	0.0457470518677918	122.242489666049	98.3604949533529	122.242489666049	0.150772492221766	IG-A
3	state_01	leiden3	OAP	32	32	516.208072790397	570.922736564033	140.953500249581	128.338591964047	0.273055590718773	75.676433782892	92.0663864961281	99.7777780285742	0.0373329606727961	IG-A
3	state_01	leiden4	OAP	32	32	411.586860472428	414.658783225439	58.4645989346574	77.9337987294043	0.14204680603154	-28.9447785350775	-47.258791145564	67.036124496339	0.676090137927385	IG-A
3	state_01	leiden5	OAP	32	32	215.68453982206	191.179201802081	150.444964272222	199.29886512693	0.697523171555732	-224.847099185446	-233.456127980535	224.847099185446	0.0770031621867931	IG-A
3	state_01	leiden6	OAP	24	24	514.61380175701	518.431011659639	94.7231189165752	119.493269960997	0.184066417560447	30.4118158781306	16.0647334924364	86.6694171656731	0.00335668997728599	IG-A
3	state_01	grey	MGI	32	32	-13.8155105579643	-13.8155105579643	0	0	0	-1.63428097273992	-1.70508105946115	1.63428097273992	0.00893977132175412	IG-A
3	state_01	leiden1	MGI	32	32	-11.0873797463883	-13.8155105579643	4.80678610673846	2.57738001211728	0.433536707201202	1.09384983883612	-1.53165425427788	3.05602193834903	0.0473297561216894	IG-A
3	state_01	leiden2	MGI	32	32	-13.8155105579643	-13.8155105579643	0	0	0	-1.63428097273992	-1.70508105946115	1.63428097273992	0.150772492221766	IG-A
3	state_01	leiden3	MGI	32	32	-13.8155105579643	-13.8155105579643	0	0	0	-1.63428097273992	-1.70508105946115	1.63428097273992	0.0373329606727961	IG-A
3	state_01	leiden4	MGI	32	32	-13.8155105579643	-13.8155105579643	0	0	0	-1.63428097273992	-1.70508105946115	1.63428097273992	0.676090137927385	IG-A
3	state_01	leiden5	MGI	32	32	-5.57576343763263	-2.59260106975423	5.25932854596182	11.7405393384608	0.943248149744825	6.60546614759175	9.08419520282733	6.90144507423829	0.0770031621867931	IG-A
3	state_01	leiden6	MGI	24	24	-13.8155105579643	-13.8155105579643	0	0	0	-1.54958946062425	-1.61504915752399	1.54958946062425	0.00335668997728599	IG-A
3	state_01	grey	MFI	32	32	0	0	0	0		0.571306143744316	0.449297469036604	0.992829528324877	0.00893977132175412	IG-A
3	state_01	leiden1	MFI	32	32	-2.72813081157603	0	4.80678610673845	2.57738001211728	1.76193388027519	-2.15682466783171	0.273450211127777	2.9391030524723	0.0473297561216894	IG-A
3	state_01	leiden2	MFI	32	32	0	0	0	0		0.571306143744316	0.449297469036604	0.992829528324877	0.150772492221766	IG-A
3	state_01	leiden3	MFI	32	32	0	0	0	0		0.571306143744316	0.449297469036604	0.992829528324877	0.0373329606727961	IG-A
3	state_01	leiden4	MFI	32	32	0	0	0	0		0.571306143744316	0.449297469036604	0.992829528324877	0.676090137927385	IG-A
3	state_01	leiden5	MFI	32	32	-1.10865209850479	-1.96606909078131	6.0756438377518	3.17421348455179	5.48020776395578	-0.53734595476047	-1.48006104715866	3.9049737072104	0.0770031621867931	IG-A
3	state_01	leiden6	MFI	24	24	0	0	0	0		0.545261396819891	0.407754051234789	1.10729257626064	0.00335668997728599	IG-A
