sample	MEgreen	MElightcyan	MEsalmon	MEtan	MEbrown	MEpurple	MEblue	MEgreenyellow	MEblack	MEred	MEturquoise	MEyellow	MEgrey60	MEcyan	MEmidnightblue	MEmagenta	MEpink	MEgrey
LV3003047069	0.00539442307740927	0.0819090951197392	0.0967203026543691	0.0657224394440473	-0.0110052442464342	0.0929539451757287	-0.0199502931015483	-0.0470158995962453	-0.0384679401054581	-0.0288114523945147	-0.0312519984216319	-0.0171612376435398	0.071279610929077	-0.0290494014019716	-0.0174151900440532	-0.0359968609606013	-0.0497056363292318	-0.0424797920907361
LV3003047167	0.0125869898003275	-0.00470139193028606	0.0678142706611453	0.0742514476359677	0.0143013903559684	0.0868978195791609	-0.0203277460359542	-0.0575514434866908	-0.0269775203659079	-0.0088745104969391	-0.0204921905810062	-0.0127458245043812	-0.111546718649621	-0.0189365702334815	-0.0168181470639368	-0.0306915173766447	-0.0527946716485316	-0.052971039639494
LV3003047154	-0.0320977557636087	0.0941823634458634	0.101138411941342	0.0640839016836387	-0.0387453915176545	0.0821514041639849	-0.0181543221746195	-0.0478202086427242	-0.0386118796588907	-0.0263417423176397	-0.0286936444129449	-0.0149887153819673	0.0860889281407699	-0.0252826085677727	-0.0191745313773928	-0.0312140607799747	-0.0241633488983306	-0.0371666682579542
LV3003047142	0.0263998367115681	0.0488790921954544	0.0816635126347699	0.0955721007070963	0.0666292776595899	0.087651493911536	-0.0136118929880461	-0.055749543812544	-0.00559316703748976	-0.0182818094857791	-0.0202094114053258	-0.0138363548525948	-0.120457633555441	-0.0233505426332428	-0.0202267320263134	-0.0321472661092096	-0.0522931379708768	-0.0492141764973711
LV3003047129	0.11258564641673	0.0545844201113674	0.0620208759872567	0.0654512422403693	0.0954248619379384	0.0797518982778245	-0.0169961373577236	-0.0527830105818352	-0.00304179886939437	-0.0231024124199067	-0.0243075634583298	-0.0207854442215395	-0.126492144053248	-0.0306919918770592	-0.0283419934113644	-0.0452427381140236	-0.0733481068761979	-0.0387604569556695
LV3003047113	0.140215097725947	0.0250117484274826	0.0358905127403692	0.0357949934877447	0.0762704655074571	0.0599383175077429	-0.0220264800572839	0.00276364543709109	-0.00892359997171362	-0.0210804547795271	-0.0178013276802542	-0.026742573863755	-0.0146740819059645	-0.0432512101755804	-0.0358337726850718	-0.0543091876822959	-0.0857724329426049	-0.0285087580390419
LV3003047096	0.143767189239809	0.000674271968220824	0.00823926249839145	0.0212711209129941	0.0530033992298434	0.047185026525727	-0.0291284238149155	-0.074998690898491	-0.00919330518579087	-0.047742524261247	-0.040357070433485	-0.027141869683584	-0.0773683647150611	-0.0443966593367251	-0.0367320878592987	-0.0587817039892404	-0.0915636332734149	-0.0458890898641106
LV3003047083	0.0127646214873178	0.0812324607659075	0.0919763248130267	0.0585834120497906	-0.0183496391636275	0.0726256579723897	-0.0292770999724051	-0.0535973316044163	-0.0410576797694381	-0.017031118553114	-0.0330495106372086	-0.017912175981098	0.053939227875506	-0.0294453631626117	-0.0250065773057408	-0.0365212285733328	-0.0393131351708731	-0.0461556348228876
LV3003047068	-0.0098651305268845	0.0662134055871363	0.0797510407708035	0.0476556047191493	-0.027944476230355	0.0669024603914355	-0.0266957661163619	-0.0702613890846194	-0.0395672178702099	-0.0291774874431307	-0.0305892345053745	-0.019011235830527	0.0419597989952015	-0.0313407517264095	-0.0264930302760447	-0.0422590948488646	-0.0532290048577974	-0.0503843761529617
LV3003047166	0.0299872282440611	0.0591530307747455	0.0570014752446842	0.0503446546438274	0.0629559319046943	0.0707411217796687	-0.0354319833227035	-0.0628813551371986	-0.0425478821838466	-0.0286104180978249	-0.0339242164239299	-0.0218771746288616	0.0501803696697561	-0.0311010585306245	-0.0298203393514495	-0.0476283221332245	-0.0183657619109278	-0.0460133711756414
LV3003047153	0.0120509295659312	0.0491340434209509	0.0531412271059704	0.0473465153576214	0.0519374244768529	0.0700296325903094	-0.0318530682470474	-0.0813581425533703	-0.0533731822507964	-0.0409070637959153	-0.0441122188565005	-0.0227327768214874	0.0414416048901589	-0.0378423405436861	-0.0175357801829492	-0.0432688484746317	-0.0430749788630713	-0.0448182578049686
