taxon	exclusion_reason	exclusion_detail	phylum	functional_group	display_category	ecological_role	signal_source	confidence_score	n_samples	total_reads
S__3300017477_6	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	57	472665
S__3300024353_83	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	70	460304
S__GCA_009618505.1	extra_phylum	p__Aerophobota	p__Aerophobota	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	0.99	105	432702
S__GCA_004376075.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	59	432430
S__GCA_012974435.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Desulfobacterota	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.85	309	413389
S__3300020364_17	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Proteobacteria	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	229	389528
S__GCA_016190405.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	183	376343
S__GCA_004376265.1	extra_phylum	p__Asgardarchaeota	p__Asgardarchaeota	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	0.99	89	375618
S__GCA_012974425.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Desulfobacterota	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.85	199	355177
S__GCA_004376185.1	extra_phylum	p__Aerophobota	p__Aerophobota	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	0.99	61	349108
S__3300025232_4	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	275	333446
S__3300024353_52	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	82	324011
S__3300024353_29	extra_phylum	p__Aerophobota	p__Aerophobota	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	0.99	70	313366
S__GCA_003228685.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	235	278475
S__GCA_011170285.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	63	264151
S__3300020303_2	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Proteobacteria	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	248	258313
S__3300024353_106	extra_phylum	p__Aerophobota	p__Aerophobota	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	0.99	92	245631
S__GCA_016783245.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	53	214629
S__GCA_015222795.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Proteobacteria	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	236	208749
S__GCA_005222975.1	extra_phylum	p__Asgardarchaeota	p__Asgardarchaeota	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	0.99	29	205841
S__GCA_012960345.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Proteobacteria	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	243	181444
S__GCA_011192075.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	66	180163
S__GCA_002816875.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	252	173662
S__3300027685_16	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	291	167643
S__GCA_019057795.1	extra_phylum	p__Asgardarchaeota	p__Asgardarchaeota	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	0.99	32	166092
S__GCA_015658865.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	236	157673
S__3300020262_3	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Desulfobacterota	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	142	157513
S__GCA_014239685.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	313	150155
S__GCA_011191875.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	49	149948
S__GCA_015492195.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Proteobacteria	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	88	146906
S__3300024058_15	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Desulfobacterota_D	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.85	218	146627
S__GCA_005223125.1	extra_phylum	p__Asgardarchaeota	p__Asgardarchaeota	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	0.99	38	144120
S__GCA_002688105.1	curated_diagenetic	display_category==Diagenetic;signal_source in {diagenetic_in_situ,benthic_resident};confidence_score>=0.85	p__Chloroflexota	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	66	143351
S__GCA_019057775.1	extra_phylum	p__Asgardarchaeota	p__Asgardarchaeota	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	0.99	75	140634
