sample	MEpink	MEyellow	MEblack	MEgreen	MEturquoise	MEred	MEblue	MEbrown	MEgrey
LV3003047088	-0.0250340054076921	-0.0368150904572978	-0.0466096198164225	-0.0322873154094954	-0.131174896779735	-0.0571697689332864	-0.0635546177287285	-0.0314256553077021	-0.0213007445805553
LV3003047087	-0.0269851031321672	-0.0484823736114658	-0.0466096198164225	-0.0322017923686884	-0.112090637843352	-0.0589574165188726	-0.05866504896998	-0.0325307865357179	-0.0233335586537274
LV3003047064	-0.0298954588238713	-0.057152085634216	-0.0466096198164225	-0.0313695507589899	-0.169889357038505	-0.0589574165188726	-0.0635546177287285	-0.0325307865357179	-0.0157940709439385
LV3003047079	0.0748866225703187	0.0343797076107061	-0.0466096198164225	-0.021351522874613	-0.0630546499664884	-0.0358891087014718	-0.0598454893811807	-0.0280121361516589	-0.0116337182898221
LV3003047078	-0.0298954588238713	-0.057152085634216	-0.0466096198164225	-0.0324556082516574	-0.160105510140448	-0.0589574165188726	-0.0617500206697348	-0.0325307865357179	-0.0256029914955019
LV3003047077	-0.0272161221130758	-0.057152085634216	-0.0466096198164225	-0.0285305416038813	-0.126310735727702	-0.0589574165188726	-0.0573675804168527	-0.0309414758468871	-0.0215775396018678
LV3003047074	-0.0298954588238713	-0.057152085634216	-0.0466096198164225	-0.0302080223703308	-0.171162527067403	-0.0589574165188726	-0.0635546177287285	-0.0325307865357179	-0.0272224203014596
LV3003047073	-0.0298954588238713	-0.057152085634216	-0.0466096198164225	-0.033329110812266	-0.174354723303962	-0.0589574165188726	-0.0635546177287285	-0.0325307865357179	-0.0284745894226048
LV3003047162	-0.0298954588238713	-0.057152085634216	-0.0466096198164225	-0.0276192637591359	-0.15918219088323	-0.0589574165188726	-0.0635546177287285	-0.0325307865357179	-0.0174451528886462
LV3003047063	-0.0298954588238713	-0.057152085634216	-0.0466096198164225	-0.0317003396597745	-0.156169348644167	-0.0589574165188726	-0.0625253828290228	-0.0325307865357179	-0.0243185268769268
LV3003047062	-0.0298954588238713	-0.057152085634216	-0.0466096198164225	-0.0241944792625592	-0.130571544331987	-0.0589574165188726	-0.0613044016562392	-0.0325307865357179	-0.0229726362244234
LV3003047061	-0.0298954588238713	-0.057152085634216	-0.0466096198164225	-0.030991429719945	-0.124338604528209	-0.0589574165188726	-0.0618089412394922	-0.0325307865357179	-0.0225505932687688
LV3003047060	-0.0298954588238713	-0.0512745457148629	-0.0466096198164225	-0.032326264744778	-0.0985480934774023	-0.0589574165188726	-0.0614493348961333	-0.031542362337136	-0.0195458340101482
LV3003047059	-0.0298954588238713	-0.0557541656733237	-0.0466096198164225	-0.0323515283962451	-0.104344740316544	-0.0567221085637236	-0.061578943227093	-0.0325307865357179	-0.00741739114824545
LV7001898100	0.159215830156525	0.139944200473326	-0.0396358104238356	-0.0277526834691398	0.0391631392056006	0.0611020508930957	-0.0197424284352059	-0.0150807728604661	-0.0291314707395735
